Id,Label,Properties:type_string,Properties:code_string,Properties:icao_string,Properties:desc_string,Properties:region_string,Properties:runways_int,Properties:longest_int,Properties:elev_int,Properties:country_string,Properties:city_string,Properties:lat_double,Properties:lon_double
1,airport,airport,ATL,KATL,Hartsfield - Jackson Atlanta International Airport,US-GA,5.0,12390.0,1026.0,US,Atlanta,33.6366996765137,-84.4281005859375
2,airport,airport,ANC,PANC,Anchorage Ted Stevens,US-AK,3.0,12400.0,151.0,US,Anchorage,61.1744003295898,-149.996002197266
3,airport,airport,AUS,KAUS,Austin Bergstrom International Airport,US-TX,2.0,12250.0,542.0,US,Austin,30.1944999694824,-97.6698989868164
4,airport,airport,BNA,KBNA,Nashville International Airport,US-TN,4.0,11030.0,599.0,US,Nashville,36.1245002746582,-86.6781997680664
5,airport,airport,BOS,KBOS,Boston Logan,US-MA,6.0,10083.0,19.0,US,Boston,42.36429977,-71.00520325
6,airport,airport,BWI,KBWI,Baltimore/Washington International Airport,US-MD,3.0,10502.0,143.0,US,Baltimore,39.17539978,-76.66829681
7,airport,airport,DCA,KDCA,Ronald Reagan Washington National Airport,US-DC,3.0,7169.0,14.0,US,Washington D.C.,38.8521003723145,-77.0376968383789
8,airport,airport,DFW,KDFW,Dallas/Fort Worth International Airport,US-TX,7.0,13401.0,607.0,US,Dallas,32.896800994873,-97.0380020141602
9,airport,airport,FLL,KFLL,Fort Lauderdale/Hollywood International Airport,US-FL,2.0,9000.0,64.0,US,Fort Lauderdale,26.0725994110107,-80.152702331543
10,airport,airport,IAD,KIAD,Washington Dulles International Airport,US-VA,4.0,11500.0,313.0,US,Washington D.C.,38.94449997,-77.45580292
11,airport,airport,IAH,KIAH,George Bush Intercontinental,US-TX,5.0,12001.0,96.0,US,Houston,29.9843997955322,-95.3414001464844
12,airport,airport,JFK,KJFK,New York John F. Kennedy International Airport,US-NY,4.0,14511.0,12.0,US,New York,40.63980103,-73.77890015
13,airport,airport,LAX,KLAX,Los Angeles International Airport,US-CA,4.0,12091.0,127.0,US,Los Angeles,33.94250107,-118.4079971
14,airport,airport,LGA,KLGA,New York La Guardia,US-NY,2.0,7003.0,20.0,US,New York,40.77719879,-73.87259674
15,airport,airport,MCO,KMCO,Orlando International Airport,US-FL,4.0,12005.0,96.0,US,Orlando,28.4293994903564,-81.3089981079102
16,airport,airport,MIA,KMIA,Miami International Airport,US-FL,4.0,13016.0,8.0,US,Miami,25.7931995391846,-80.2906036376953
17,airport,airport,MSP,KMSP,Minneapolis-St.Paul International Airport,US-MN,4.0,11006.0,841.0,US,Minneapolis,44.8819999695,-93.2218017578
18,airport,airport,ORD,KORD,Chicago O'Hare International Airport,US-IL,7.0,13000.0,672.0,US,Chicago,41.97859955,-87.90480042
19,airport,airport,PBI,KPBI,Palm Beach International Airport,US-FL,3.0,10000.0,19.0,US,West Palm Beach,26.6832008361816,-80.0955963134766
20,airport,airport,PHX,KPHX,Phoenix Sky Harbor International Airport,US-AZ,3.0,11489.0,1135.0,US,Phoenix,33.4342994689941,-112.012001037598
21,airport,airport,RDU,KRDU,Raleigh-Durham,US-NC,3.0,10000.0,435.0,US,Raleigh,35.8776016235352,-78.7874984741211
22,airport,airport,SEA,KSEA,Seattle-Tacoma,US-WA,3.0,11901.0,432.0,US,Seattle,47.4490013122559,-122.30899810791
23,airport,airport,SFO,KSFO,San Francisco International Airport,US-CA,4.0,11870.0,13.0,US,San Francisco,37.6189994812012,-122.375
24,airport,airport,SJC,KSJC,Norman Y. Mineta San Jose International Airport,US-CA,3.0,11000.0,62.0,US,San Jose,37.3625984191895,-121.929000854492
25,airport,airport,TPA,KTPA,Tampa International Airport,US-FL,3.0,11002.0,26.0,US,Tampa,27.9755001068115,-82.533203125
26,airport,airport,SAN,KSAN,San Diego Lindbergh,US-CA,1.0,9400.0,16.0,US,San Diego,32.7336006165,-117.190002441
27,airport,airport,LGB,KLGB,Long Beach Airport,US-CA,3.0,10003.0,60.0,US,Long Beach,33.81769943,-118.1520004
28,airport,airport,SNA,KSNA,"Orange County/Santa Ana, John Wayne",US-CA,2.0,5701.0,56.0,US,Santa Ana,33.67570114,-117.8679962
29,airport,airport,SLC,KSLC,Salt Lake City,US-UT,4.0,12002.0,56.0,US,Salt Lake City,40.7883987426758,-111.977996826172
30,airport,airport,LAS,KLAS,Las Vegas Mc Carran,US-NV,4.0,14512.0,2181.0,US,Las Vegas,36.08010101,-115.1520004
31,airport,airport,DEN,KDEN,Denver International Airport,US-CO,6.0,16000.0,5433.0,US,Denver,39.8616981506348,-104.672996520996
32,airport,airport,HPN,KHPN,Westchester County,US-NY,2.0,6549.0,439.0,US,White Plains,41.0670013427734,-73.7076034545898
33,airport,airport,SAT,KSAT,San Antonio,US-TX,3.0,8505.0,809.0,US,San Antonio,29.5337009429932,-98.4698028564453
34,airport,airport,MSY,KMSY,New Orleans L. Armstrong,US-LA,2.0,10104.0,3.0,US,New Orleans,29.9934005737305,-90.2580032348633
35,airport,airport,EWR,KEWR,"Newark, Liberty",US-NY,3.0,11000.0,17.0,US,Newark,40.6925010681152,-74.168701171875
36,airport,airport,CID,KCID,The Eastern Iowa Airport,US-IA,2.0,8600.0,869.0,US,Cedar Rapids,41.8847007751465,-91.7108001708984
37,airport,airport,HNL,PHNL,Honolulu International Airport,US-HI,4.0,12312.0,13.0,US,Honolulu,21.3187007904053,-157.921997070312
38,airport,airport,HOU,KHOU,Houston Hobby,US-TX,4.0,7602.0,46.0,US,Houston,29.64539909,-95.27890015
39,airport,airport,ELP,KELP,El Paso International Airport,US-TX,3.0,12020.0,3961.0,US,El Paso,31.80719948,-106.3779984
40,airport,airport,SJU,TJSJ,"Puerto Rico, Luis Munoz International Airport",PR-U-A,2.0,10400.0,9.0,PR,San Juan,18.4393997192,-66.0018005371
41,airport,airport,CLE,KCLE,"Cleveland, Hopkins International Airport",US-OH,3.0,9956.0,799.0,US,Cleveland,41.4117012024,-81.8498001099
42,airport,airport,OAK,KOAK,Oakland,US-CA,4.0,10520.0,9.0,US,Oakland,37.7212982177734,-122.221000671387
43,airport,airport,TUS,KTUS,Tucson International Airport,US-AZ,3.0,10996.0,2643.0,US,Tucson,32.1161003112793,-110.94100189209
44,airport,airport,SAF,KSAF,Santa Fe,US-NM,3.0,8366.0,6348.0,US,Santa Fe,35.617099762,-106.088996887
45,airport,airport,PHL,KPHL,Philadelphia International Airport,US-PA,4.0,10506.0,36.0,US,Philadelphia,39.871898651123,-75.241096496582
46,airport,airport,DTW,KDTW,"Detroit Metropolitan, Wayne County",US-MI,6.0,12003.0,645.0,US,Detroit,42.2123985290527,-83.353401184082
47,airport,airport,YYZ,CYYZ,Toronto Pearson International Airport,CA-ON,5.0,11120.0,569.0,CA,Toronto,43.6772003174,-79.6305999756
48,airport,airport,YVR,CYVR,Vancouver International Airport,CA-BC,3.0,11500.0,14.0,CA,Vancouver,49.193901062,-123.183998108
49,airport,airport,LHR,EGLL,London Heathrow,GB-ENG,2.0,12799.0,83.0,UK,London,51.4706001282,-0.461941003799
50,airport,airport,LGW,EGKK,London Gatwick,GB-ENG,2.0,10364.0,202.0,UK,London,51.1481018066406,-0.190277993679047
51,airport,airport,CDG,LFPG,Paris Charles de Gaulle,FR-J,4.0,13829.0,392.0,FR,Paris,49.0127983093,2.54999995232
52,airport,airport,FRA,EDDF,Frankfurt am Main,DE-HE,4.0,13123.0,364.0,DE,Frankfurt,50.0264015198,8.54312992096
53,airport,airport,HEL,EFHK,Helsinki Ventaa,FI-18,3.0,11286.0,179.0,FI,Helsinki,60.3171997070312,24.9633007049561
54,airport,airport,NRT,RJAA,Tokyo Narita,JP-12,2.0,13123.0,141.0,JP,Tokyo,35.7647018433,140.386001587
55,airport,airport,SYD,YSSY,Sydney Kingsford Smith,AU-NSW,3.0,12999.0,21.0,AU,Sydney,-33.9460983276367,151.177001953125
56,airport,airport,SIN,WSSS,"Singapore, Changi International Airport",SG,3.0,13123.0,22.0,SG,Singapore,1.3501900434494,103.994003295898
57,airport,airport,MEL,YMML,Melbourne International Airport,AU-VIC,2.0,11998.0,434.0,AU,Melbourne,-37.6733016967773,144.843002319336
58,airport,airport,DXB,OMDB,Dubai International Airport,AE-DU,2.0,13124.0,62.0,AE,Dubai,25.2527999878,55.3643989563
59,airport,airport,DEL,VIDP,Indira Gandhi International Airport,IN-DL,3.0,14534.0,777.0,IN,New Delhi,28.566499710083,77.1031036376953
60,airport,airport,DUB,EIDW,Dublin International Airport,IE-D,2.0,8652.0,242.0,IE,Dublin,53.4212989807129,-6.27007007598877
61,airport,airport,HKG,VHHH,Hong Kong - Chek Lap Kok International Airport,HK,2.0,12467.0,28.0,HK,Hong Kong,22.3089008331,113.915000916
62,airport,airport,PER,YPPH,Perth International Airport,AU-WA,2.0,11299.0,67.0,AU,Perth,-31.940299987793,115.967002868652
63,airport,airport,AKL,NZAA,Auckland International Airport,NZ-AUK,2.0,11926.0,23.0,NZ,Auckland,-37.0080986023,174.792007446
64,airport,airport,PEK,ZBAA,Beijing Capital International Airport,CN-11,3.0,12468.0,116.0,CN,Beijing,40.0801010131836,116.584999084473
