Id,Label,FromId,ToId,Properties:dist_int
3749,route,1,3,809.0
3750,route,1,4,214.0
3751,route,1,5,945.0
3752,route,1,6,576.0
3753,route,1,7,546.0
3754,route,1,8,729.0
3755,route,1,9,581.0
3756,route,1,10,533.0
3757,route,1,11,688.0
3758,route,1,12,759.0
3759,route,1,13,1941.0
3760,route,1,14,761.0
3761,route,1,15,404.0
3762,route,1,16,596.0
3763,route,1,17,906.0
3764,route,1,18,606.0
3765,route,1,19,546.0
3766,route,1,20,1580.0
3767,route,1,21,356.0
3768,route,1,22,2180.0
3769,route,1,23,2130.0
3770,route,1,24,2110.0
3771,route,1,25,406.0
3772,route,1,26,1890.0
3773,route,1,27,2460.0
3774,route,1,28,1910.0
3775,route,1,29,1590.0
3776,route,1,30,1740.0
3777,route,1,31,1200.0
3778,route,1,32,780.0
3779,route,1,33,872.0
3780,route,1,34,424.0
3781,route,1,35,745.0
3782,route,1,36,694.0
3783,route,1,37,4502.0
3784,route,1,38,693.0
3785,route,1,39,1279.0
3786,route,1,40,1550.0
3787,route,1,41,556.0
3788,route,1,42,2124.0
3789,route,1,43,1540.0
3790,route,1,45,667.0
3791,route,1,46,596.0
3792,route,2,8,3030.0
3793,route,2,11,3260.0
3794,route,2,13,2340.0
3795,route,2,17,2519.0
3796,route,2,18,2840.0
3797,route,2,20,2547.0
3798,route,2,22,1440.0
3799,route,2,23,2010.0
3800,route,2,27,2360.0
3801,route,2,30,2304.0
3802,route,2,31,2400.0
3803,route,2,37,2778.0
3804,route,3,1,809.0
3805,route,3,4,755.0
3806,route,3,5,1690.0
3807,route,3,6,1339.0
3808,route,3,7,1313.0
3809,route,3,8,190.0
3810,route,3,9,1110.0
3811,route,3,10,1294.0
3812,route,3,11,142.0
3813,route,3,12,1520.0
3814,route,3,13,1230.0
3815,route,3,15,994.0
3816,route,3,16,1101.0
3817,route,3,17,1040.0
3818,route,3,18,973.0
3819,route,3,20,866.0
3820,route,3,21,1159.0
3821,route,3,22,1768.0
3822,route,3,23,1500.0
3823,route,3,24,1476.0
3824,route,3,25,925.0
3825,route,3,26,1160.0
3826,route,3,27,1220.0
3827,route,3,28,1206.0
3828,route,3,29,1080.0
3829,route,3,30,1080.0
3830,route,3,31,768.0
3831,route,3,33,66.0
3832,route,3,37,3755.0
3833,route,3,34,444.0
3834,route,3,35,1500.0
3835,route,3,38,152.0
3836,route,3,39,527.0
3837,route,3,41,1173.0
3838,route,3,42,1493.0
3839,route,3,43,795.0
3840,route,3,45,1430.0
3841,route,3,46,1140.0
3842,route,4,1,214.0
3843,route,4,3,755.0
3844,route,4,5,939.0
3845,route,4,6,586.0
3846,route,4,7,560.0
3847,route,4,8,630.0
3848,route,4,9,793.0
3849,route,4,10,540.0
3850,route,4,11,657.0
3851,route,4,12,763.0
3852,route,4,13,1790.0
3853,route,4,14,762.0
3854,route,4,15,616.0
3855,route,4,16,806.0
3856,route,4,17,694.0
3857,route,4,18,409.0
3858,route,4,20,1444.0
3859,route,4,21,441.0
3860,route,4,22,1972.0
3861,route,4,23,1963.0
3862,route,4,25,612.0
3863,route,4,26,1746.0
3864,route,4,29,1400.0
3865,route,4,30,1582.0
3866,route,4,31,1010.0
3867,route,4,33,820.0
3868,route,4,34,471.0
3869,route,4,35,745.0
3870,route,4,36,481.0
3871,route,4,38,669.0
3872,route,4,41,448.0
3873,route,4,42,1953.0
3874,route,4,45,674.0
3875,route,4,46,456.0
3876,route,5,1,945.0
3877,route,5,3,1690.0
3878,route,5,4,939.0
3879,route,5,6,368.0
3880,route,5,7,398.0
3881,route,5,8,1560.0
3882,route,5,9,1240.0
3883,route,5,10,411.0
3884,route,5,11,1590.0
3885,route,5,12,186.0
3886,route,5,13,2600.0
3887,route,5,14,184.0
3888,route,5,15,1120.0
3889,route,5,16,1260.0
3890,route,5,17,1120.0
3891,route,5,18,863.0
3892,route,5,19,1200.0
3893,route,5,20,2290.0
3894,route,5,21,612.0
3895,route,5,22,2490.0
3896,route,5,23,2700.0
3897,route,5,24,2680.0
3898,route,5,25,1180.0
3899,route,5,26,2580.0
3900,route,5,27,2590.0
3901,route,5,29,2100.0
3902,route,5,30,2370.0
3903,route,5,31,1750.0
3904,route,5,32,166.0
3905,route,5,34,1370.0
3906,route,5,35,200.0
3907,route,5,37,5083.0
3908,route,5,38,1610.0
3909,route,5,40,1677.0
3910,route,5,41,560.0
3911,route,5,42,2680.0
3912,route,5,45,278.0
3913,route,5,46,629.0
3914,route,6,1,577.0
3915,route,6,4,586.0
3916,route,6,5,368.0
3917,route,6,8,1210.0
3918,route,6,9,925.0
3919,route,6,11,1230.0
3920,route,6,12,184.0
3921,route,6,13,2320.0
3922,route,6,15,788.0
3923,route,6,16,947.0
3924,route,6,17,936.0
3925,route,6,18,620.0
3926,route,6,19,885.0
3927,route,6,20,1999.0
3928,route,6,21,255.0
3929,route,6,22,2335.0
3930,route,6,23,2450.0
3931,route,6,24,2431.0
3932,route,6,25,842.0
3933,route,6,26,2295.0
3934,route,6,29,1865.0
3935,route,6,3,1339.0
3936,route,6,30,2106.0
3937,route,6,31,1490.0
3938,route,6,33,1410.0
3939,route,6,34,998.0
3940,route,6,35,169.0
3941,route,6,38,1240.0
3942,route,6,40,1567.0
3943,route,6,41,313.0
3944,route,6,42,2440.0
3945,route,6,45,91.0
3946,route,6,46,408.0
3947,route,7,1,547.0
3948,route,7,3,1313.0
3949,route,7,4,560.0
3950,route,7,5,398.0
3951,route,7,8,1190.0
3952,route,7,9,899.0
3953,route,7,11,1210.0
3954,route,7,12,213.0
3955,route,7,13,2300.0
3956,route,7,14,214.0
3957,route,7,15,760.0
3958,route,7,16,921.0
3959,route,7,17,931.0
3960,route,7,18,610.0
3961,route,7,19,859.0
3962,route,7,21,226.0
3963,route,7,22,2320.0
3964,route,7,23,2434.0
3965,route,7,25,815.0
3966,route,7,26,2276.0
3967,route,7,30,2089.0
3968,route,7,31,1470.0
