Id,Label,Properties:name,Properties:pubchemId,Properties:chemblId,Properties:smiles,Properties:inchiKey,Properties:type,Properties:molecularFormula,Properties:exactMass,Properties:logP,Properties:hbd,Properties:hba,Properties:rotatablebonds,Properties:polarSurfaceArea,Properties:bioavailability,Properties:source,Properties:confidence
COMPOUND_00001,Compound,Chemical_Compound_001,CID532524,CHEMBL706499,C=OC,QXKDBAHKONNXQX-QYDKHKCXOD-C,LIPID,C20H42N1O6,978.4167,-1.81,3,13,10,47.59,0.89,PUBCHEM,0.867
COMPOUND_00002,Compound,Chemical_Compound_002,CID331505,CHEMBL249567,CCOc1ccccc1C,UXZEGMDLFOYSHG-WJEGXHAWKH-X,PEPTIDE,C17H17O3,930.0838,1.27,8,2,15,29.0,0.93,PUBCHEM,0.951
COMPOUND_00003,Compound,Chemical_Compound_003,CID205214,CHEMBL960012,CCNc1ccccc1CCOC=OCCC,JTPIAEGAXIPCRS-NWCXAPUAEG-Z,PEPTIDE,C23H55N2O8,656.0061,-1.06,4,7,8,100.68,0.64,PUBCHEM,0.905
COMPOUND_00004,Compound,Chemical_Compound_004,CID796351,CHEMBL114057,CCNCCCCCCCCCC,ALCWJQZQHAJDFN-BLBMQZBDVJ-P,FLAVONOID,C29H37N2O0Cl3,657.9262,-0.27,10,3,1,117.81,0.95,PUBCHEM,0.828
COMPOUND_00005,Compound,Chemical_Compound_005,CID927186,CHEMBL681184,CCCc1ccccc1CCCCCNC=O,PYFSTWPODNDBYI-DQSJZVMIGT-L,FLAVONOID,C19H24O8Cl2,906.1379,0.58,5,8,4,134.11,0.11,PUBCHEM,0.851
COMPOUND_00006,Compound,Chemical_Compound_006,CID152972,CHEMBL925609,c1ccccc1C=OC=O,NPMKPFADUDOPSA-NAVZTKCZVK-G,LIPID,C27H39N4O2,509.1882,6.13,4,1,9,165.65,0.36,PUBCHEM,0.954
COMPOUND_00007,Compound,Chemical_Compound_007,CID513496,CHEMBL848186,CCCC,INGOFBZVKZZJSA-UNZTTKMFCD-K,NUCLEOTIDE,C15H36N2O8S0,473.5961,-1.67,3,3,15,170.87,0.36,PUBCHEM,0.939
COMPOUND_00008,Compound,Chemical_Compound_008,CID613132,CHEMBL377882,CCNC=OC=OCCN,DCDOGVKOEGOEPF-SFATJLRKEZ-I,CARBOHYDRATE,C13H14N7O3,906.4257,3.01,10,0,11,115.86,0.63,PUBCHEM,0.93
COMPOUND_00009,Compound,Chemical_Compound_009,CID389819,CHEMBL247545,CC,GPGSGBKWHHOIZZ-MOZSWITLTY-C,STEROID,C13H15O2S0,642.6662,6.66,2,14,7,50.45,0.7,PUBCHEM,0.874
COMPOUND_00010,Compound,Chemical_Compound_010,CID557210,CHEMBL660583,C=OCC,OKBCYYJDWQQEYY-BVLZMJDPVZ-N,NUCLEOTIDE,C5H56N5,736.959,1.91,0,12,7,140.8,0.83,PUBCHEM,0.849
COMPOUND_00011,Compound,Chemical_Compound_011,CID439239,CHEMBL777967,C=OCC,XHDZTZRFTWIWRB-BLVMDOOXOT-O,STEROID,C13H46O10,529.4014,2.42,8,5,20,36.35,0.84,PUBCHEM,0.898
COMPOUND_00012,Compound,Chemical_Compound_012,CID291255,CHEMBL254639,CCCCCO,WBVTGSESPWAERT-PZRBMBJZFT-D,STEROID,C16H10,331.1364,2.76,9,11,2,89.5,0.26,PUBCHEM,0.956
COMPOUND_00013,Compound,Chemical_Compound_013,CID486895,CHEMBL919911,CCC(=O)OCCN,XXWLECKJQVZCXB-AMAEOKQQVX-M,ALKALOID,C9H48N8O10,341.5661,7.27,6,2,12,183.15,0.67,PUBCHEM,0.89
COMPOUND_00014,Compound,Chemical_Compound_014,CID511706,CHEMBL317474,C=OCC,HFSDDVVXTVEJLB-FMJGAXGRZL-D,CARBOHYDRATE,C30H49O10,552.4541,0.38,4,10,9,184.3,0.29,PUBCHEM,0.808
COMPOUND_00015,Compound,Chemical_Compound_015,CID224098,CHEMBL779910,CCCOCCOCCC,UEUOUBLDYHMDOZ-ZXGRCVJJZC-Z,SMALL_MOLECULE,C23H19N1O1,843.2993,6.48,4,9,19,138.17,0.35,PUBCHEM,0.83
COMPOUND_00016,Compound,Chemical_Compound_016,CID601182,CHEMBL247752,CCCCCCCCO,CTIEWHAMBQHZPM-FLLTZIZPYE-J,FLAVONOID,C21H50N7O7Cl0,354.3158,2.42,2,8,4,38.26,0.94,PUBCHEM,0.807
COMPOUND_00017,Compound,Chemical_Compound_017,CID761383,CHEMBL533591,CCOCCCc1ccccc1,TKDOOWVXKLLWZD-OBGLTZIDSB-Z,NUCLEOTIDE,C5H22,618.6068,6.17,3,12,13,152.75,0.75,PUBCHEM,0.949
COMPOUND_00018,Compound,Chemical_Compound_018,CID813751,CHEMBL987833,CCNCCOCCCOCCN,PGSTADPBNEDVEY-GDFUTOOTRZ-G,STEROID,C17H56O9,649.2133,1.29,9,14,10,195.77,0.7,PUBCHEM,0.813
COMPOUND_00019,Compound,Chemical_Compound_019,CID188834,CHEMBL262703,CCOCCNCCO,SGOHFDTREJFFWB-YHTUAXRKIT-N,CARBOHYDRATE,C12H58N5O8Cl2,479.9566,7.4,1,2,6,51.68,0.28,PUBCHEM,0.836
COMPOUND_00020,Compound,Chemical_Compound_020,CID746018,CHEMBL991700,CCOCC,JBTTAYHSFGRACE-SBYYAJPJPG-B,SMALL_MOLECULE,C15H38O6Cl1,408.0495,-1.8,9,5,20,81.77,0.88,PUBCHEM,0.928
