Id,Label,Properties:name,Properties:icdCode,Properties:category,Properties:prevalence,Properties:mortality,Properties:severity,Properties:chronicStatus,Properties:symptoms,Properties:riskFactors,Properties:source,Properties:confidence
DISEASE_00001,Disease,Bipolar_Disorder,K23.8,PSYCHIATRIC,13.44,0.22,mild,chronic,cough; fever; chest pain,stress; diabetes; obesity,ICD10,0.925
DISEASE_00002,Disease,Migraine,K42.1,METABOLIC,5.98,1.65,mild,acute,chest pain; cough,smoking; hypertension; stress; age,ICD10,0.981
DISEASE_00003,Disease,Asthma,F72.1,CARDIOVASCULAR,10.26,4.4,mild,acute,shortness of breath; dizziness; fatigue; cough,diabetes; family history; sedentary lifestyle,ICD10,0.92
DISEASE_00004,Disease,Cancer,F66.9,RESPIRATORY,14.78,1.8,moderate,acute,nausea; fatigue,age; stress,ICD10,0.904
DISEASE_00005,Disease,Insomnia,J51.7,PSYCHIATRIC,3.79,1.31,severe,chronic,headache; fever; shortness of breath; dizziness,hypertension; poor diet,ICD10,0.972
DISEASE_00006,Disease,Stroke,K46.0,ONCOLOGY,0.19,2.94,mild,acute,fever; chest pain; fatigue,obesity; sedentary lifestyle; stress,ICD10,0.961
DISEASE_00007,Disease,Parkinsons,F55.9,NEUROLOGICAL,14.77,0.47,moderate,chronic,fever; abdominal pain; chest pain; headache,hypertension; age; diabetes; smoking,ICD10,0.944
DISEASE_00008,Disease,Schizophrenia,J99.2,INFECTIOUS,7.96,1.69,mild,chronic,fever; nausea; dizziness; abdominal pain,obesity; diabetes; family history; smoking,ICD10,0.946
DISEASE_00009,Disease,Bronchitis,K75.0,PSYCHIATRIC,7.33,1.71,moderate,chronic,abdominal pain; headache; fever; nausea,hypertension; obesity; stress; smoking,ICD10,0.942
DISEASE_00010,Disease,Hypertension,K29.0,PSYCHIATRIC,7.18,1.97,mild,acute,cough; chest pain,diabetes; obesity; stress; poor diet,ICD10,0.975
DISEASE_00011,Disease,Insomnia,J93.2,NEUROLOGICAL,2.87,0.02,severe,chronic,nausea; fatigue,diabetes; stress; smoking; age,ICD10,0.943
DISEASE_00012,Disease,Osteoporosis,F36.1,RESPIRATORY,1.48,1.25,severe,chronic,dizziness; abdominal pain; headache; chest pain,family history; stress; sedentary lifestyle,ICD10,0.906
DISEASE_00013,Disease,Hyperlipidemia,K90.1,GASTROINTESTINAL,1.72,3.81,moderate,chronic,headache; nausea; dizziness; abdominal pain,smoking; family history; obesity; diabetes,ICD10,0.948
DISEASE_00014,Disease,Bronchitis,K11.4,ONCOLOGY,12.27,1.06,moderate,acute,shortness of breath; cough; fever,poor diet; age; stress; hypertension,ICD10,0.935
DISEASE_00015,Disease,Schizophrenia,K40.6,ONCOLOGY,3.27,0.45,severe,acute,fever; nausea; cough; abdominal pain,smoking; hypertension,ICD10,0.919
DISEASE_00016,Disease,Bronchitis,J98.8,ONCOLOGY,5.05,2.08,mild,chronic,fever; shortness of breath; chest pain,age; sedentary lifestyle; poor diet; stress,ICD10,0.905
DISEASE_00017,Disease,Parkinsons,I26.0,INFECTIOUS,13.84,2.54,moderate,acute,fever; shortness of breath; nausea; abdominal pain,smoking; poor diet; age; stress,ICD10,0.931
DISEASE_00018,Disease,Obesity,I64.2,PSYCHIATRIC,1.77,3.35,severe,chronic,nausea; headache; dizziness,age; family history; hypertension,ICD10,0.972
DISEASE_00019,Disease,Atrial_Fibrillation,E76.0,METABOLIC,0.45,4.38,moderate,acute,headache; abdominal pain; cough; fever,poor diet; hypertension; family history,ICD10,0.917
DISEASE_00020,Disease,Schizophrenia,I59.8,ONCOLOGY,11.07,1.77,severe,acute,dizziness; fever; fatigue,sedentary lifestyle; stress,ICD10,0.942
DISEASE_00021,Disease,Asthma,F12.5,METABOLIC,14.02,0.29,severe,chronic,fatigue; abdominal pain; shortness of breath,age; stress,ICD10,0.94
DISEASE_00022,Disease,Parkinsons,E10.9,GASTROINTESTINAL,5.51,4.21,moderate,chronic,chest pain; headache,poor diet; smoking; sedentary lifestyle,ICD10,0.933
DISEASE_00023,Disease,Parkinsons,K50.5,CARDIOVASCULAR,4.19,2.39,mild,acute,chest pain; nausea; fever; dizziness,smoking; diabetes,ICD10,0.944
DISEASE_00024,Disease,Pneumonia,F29.5,PSYCHIATRIC,13.49,1.02,mild,chronic,chest pain; abdominal pain; fever; dizziness,obesity; age; hypertension,ICD10,0.936
DISEASE_00025,Disease,Migraine,J87.7,INFECTIOUS,2.82,0.27,mild,chronic,chest pain; fatigue; abdominal pain,obesity; family history; sedentary lifestyle; smoking,ICD10,0.977
DISEASE_00026,Disease,Hypertension,J23.7,PSYCHIATRIC,12.35,4.95,mild,acute,abdominal pain; fever; shortness of breath,sedentary lifestyle; obesity; smoking,ICD10,0.9
DISEASE_00027,Disease,Pneumonia,J37.9,GASTROINTESTINAL,4.71,4.26,mild,acute,dizziness; cough,diabetes; poor diet; family history,ICD10,0.907
DISEASE_00028,Disease,Disease_028_28,K79.9,METABOLIC,8.92,3.94,mild,acute,dizziness; fever; shortness of breath,smoking; diabetes,ICD10,0.921
DISEASE_00029,Disease,Disease_029_29,E80.7,NEUROLOGICAL,0.2,0.8,moderate,acute,shortness of breath; cough,sedentary lifestyle; stress,ICD10,0.977
DISEASE_00030,Disease,Disease_030_30,J17.9,GASTROINTESTINAL,13.03,1.22,severe,chronic,dizziness; chest pain; fever,diabetes; hypertension; smoking; poor diet,ICD10,0.964
