Id,Label,Properties:name,Properties:brandName,Properties:type,Properties:fdaApproved,Properties:molecularWeight,Properties:dosageForm,Properties:dosageMg,Properties:manufacturer,Properties:approvalDate,Properties:indication,Properties:contraindications,Properties:sideEffects,Properties:source,Properties:confidence
DRUG_00001,Drug,Ibuprofen,Medmax,ANTIDEPRESSANT,False,624.54,injection,311,AbbVie,1995-12-09,blood pressure control,pregnancy; kidney impairment; heart failure,dry mouth; diarrhea; nausea,FDA_ORANGE_BOOK,0.989
DRUG_00002,Drug,Warfarin,Medforte,OPIOID,True,553.83,injection,149,Pfizer,1992-05-06,infection control,allergy history,drowsiness; nausea; fatigue; insomnia,FDA_ORANGE_BOOK,0.863
DRUG_00003,Drug,Sertraline,MedSR,CORTICOSTEROID,False,629.59,syrup,458,Novartis,1990-08-13,inflammation reduction,bleeding disorders; kidney impairment,nausea; dizziness; constipation; headache,FDA_ORANGE_BOOK,0.965
DRUG_00004,Drug,Simvastatin,Medex,NSAID,False,258.21,syrup,82,Amgen,2007-10-22,cardiac protection,pregnancy,insomnia; diarrhea; rash; dry mouth,FDA_ORANGE_BOOK,0.908
DRUG_00005,Drug,Hydrocodone,MaxXR,PROTON_PUMP_INHIBITOR,False,255.18,syrup,353,Johnson & Johnson,1994-06-19,diabetes treatment,bleeding disorders,nausea; drowsiness; dry mouth; fatigue; headache,FDA_ORANGE_BOOK,0.883
DRUG_00006,Drug,Albuterol,Vitamax,ANTICONVULSANT,False,528.45,syrup,141,Merck,1998-03-11,inflammation reduction,heart failure; pregnancy; bleeding disorders,fatigue; dizziness,FDA_ORANGE_BOOK,0.896
DRUG_00007,Drug,Zolpidem,MaxER,BRONCHODILATOR,False,736.05,tablet,135,Johnson & Johnson,1990-09-04,cholesterol management,pregnancy; heart failure,constipation; fatigue; diarrhea; insomnia; headache,FDA_ORANGE_BOOK,0.964
DRUG_00008,Drug,Bupropion,Genmax,CORTICOSTEROID,True,223.25,capsule,199,Amgen,2004-04-07,pain relief,allergy history; heart failure,diarrhea; dizziness,FDA_ORANGE_BOOK,0.907
DRUG_00009,Drug,Ibuprofen,Bioplus,ANTIBIOTIC,True,252.99,capsule,448,AbbVie,1999-11-07,blood pressure control,bleeding disorders,drowsiness; constipation; dizziness; headache; dry mouth,FDA_ORANGE_BOOK,0.946
DRUG_00010,Drug,Tramadol,BioXR,CORTICOSTEROID,True,299.08,tablet,133,Bristol Myers Squibb,1995-09-02,pain relief,pregnancy,insomnia; drowsiness; dizziness; nausea; headache,FDA_ORANGE_BOOK,0.855
DRUG_00011,Drug,Alprazolam,UltraER,ANTICONVULSANT,True,317.58,cream,298,GlaxoSmithKline,2005-09-05,anxiety reduction,pregnancy; allergy history,drowsiness; rash; constipation; dry mouth,FDA_ORANGE_BOOK,0.923
DRUG_00012,Drug,Bupropion,MaxER,ACE_INHIBITOR,False,395.44,tablet,207,Johnson & Johnson,1993-01-16,anxiety reduction,allergy history,diarrhea; drowsiness; dry mouth,FDA_ORANGE_BOOK,0.877
DRUG_00013,Drug,Codeine,Pharmaol,OPIOID,False,664.75,tablet,85,Bristol Myers Squibb,1990-11-24,cholesterol management,allergy history,drowsiness; nausea; dizziness,FDA_ORANGE_BOOK,0.961
DRUG_00014,Drug,Simvastatin,NovoER,PROTON_PUMP_INHIBITOR,False,168.38,syrup,412,Roche,2015-04-17,anxiety reduction,liver disease,drowsiness; rash; insomnia,FDA_ORANGE_BOOK,0.894
DRUG_00015,Drug,Albuterol,Genforte,BRONCHODILATOR,False,361.53,syrup,97,Bristol Myers Squibb,2018-12-29,depression treatment,allergy history; kidney impairment,constipation; drowsiness; insomnia; rash; dry mouth,FDA_ORANGE_BOOK,0.909
DRUG_00016,Drug,Atorvastatin,GenSR,PROTON_PUMP_INHIBITOR,False,258.52,syrup,358,Bristol Myers Squibb,2006-12-04,pain relief,bleeding disorders,nausea; drowsiness,FDA_ORANGE_BOOK,0.949
DRUG_00017,Drug,Diclofenac,Medine,CORTICOSTEROID,True,376.92,syrup,439,Pfizer,2010-12-16,diabetes treatment,allergy history,drowsiness; insomnia,FDA_ORANGE_BOOK,0.886
DRUG_00018,Drug,Atorvastatin,ProXR,ANTIDEPRESSANT,False,735.3,syrup,14,AbbVie,2015-06-12,diabetes treatment,allergy history,drowsiness; nausea; dizziness; constipation; insomnia,FDA_ORANGE_BOOK,0.975
DRUG_00019,Drug,Metformin,Prool,DIURETIC,True,498.77,tablet,403,Bristol Myers Squibb,2000-10-12,diabetes treatment,pregnancy; heart failure; liver disease,headache; fatigue,FDA_ORANGE_BOOK,0.86
DRUG_00020,Drug,Ibuprofen,Novoplus,ACE_INHIBITOR,True,206.06,cream,256,Novartis,2010-08-26,pain relief,liver disease; bleeding disorders; allergy history,nausea; dizziness,FDA_ORANGE_BOOK,0.956
DRUG_00021,Drug,Clonazepam,Bioine,ANXIOLYTIC,False,718.61,tablet,169,AbbVie,1998-11-02,cholesterol management,heart failure,dizziness; constipation; headache; rash,FDA_ORANGE_BOOK,0.894
DRUG_00022,Drug,Clonazepam,Vitamax,PROTON_PUMP_INHIBITOR,True,497.67,tablet,21,Sanofi,2008-03-09,pain relief,bleeding disorders; pregnancy,dizziness; dry mouth; rash,FDA_ORANGE_BOOK,0.986
DRUG_00023,Drug,Azithromycin,Maxol,CORTICOSTEROID,False,544.44,capsule,117,Merck,1991-04-25,diabetes treatment,heart failure; kidney impairment; pregnancy,dry mouth; nausea; rash; fatigue,FDA_ORANGE_BOOK,0.951
DRUG_00024,Drug,Naproxen,BioSR,ANTIDEPRESSANT,True,571.18,cream,486,Roche,2011-05-14,blood pressure control,heart failure; kidney impairment,diarrhea; nausea; fatigue,FDA_ORANGE_BOOK,0.963
DRUG_00025,Drug,Naproxen,Bioex,BETA_BLOCKER,False,566.89,tablet,433,Amgen,2021-07-22,cardiac protection,pregnancy; bleeding disorders; kidney impairment,insomnia; constipation; dry mouth; headache; fatigue,FDA_ORANGE_BOOK,0.985
DRUG_00026,Drug,Warfarin,UltraLA,BRONCHODILATOR,False,749.2,capsule,84,Bristol Myers Squibb,2022-10-31,cholesterol management,liver disease,rash; headache,FDA_ORANGE_BOOK,0.904
DRUG_00027,Drug,Cephalexin,Ultraex,STATIN,False,523.36,cream,166,Merck,2019-04-17,blood pressure control,liver disease,dizziness; insomnia; constipation; nausea; headache,FDA_ORANGE_BOOK,0.903
DRUG_00028,Drug,Pregabalin,MedXR,BETA_BLOCKER,False,416.94,injection,84,Merck,2019-07-25,inflammation reduction,pregnancy; heart failure,nausea; dizziness; diarrhea; headache; constipation,FDA_ORANGE_BOOK,0.899
DRUG_00029,Drug,Amlodipine,Bioex,HYPNOTIC,True,765.35,capsule,498,Pfizer,2001-04-21,blood pressure control,allergy history; pregnancy,fatigue; rash; dizziness; insomnia,FDA_ORANGE_BOOK,0.865
DRUG_00030,Drug,Amoxicillin,Medmax,STATIN,False,262.03,capsule,145,Novartis,1992-08-27,diabetes treatment,bleeding disorders,insomnia; rash; dry mouth,FDA_ORANGE_BOOK,0.974
DRUG_00031,Drug,Ibuprofen,Pharmaine,ANTIBIOTIC,False,547.87,cream,221,Johnson & Johnson,2022-10-03,depression treatment,heart failure; allergy history,headache; rash,FDA_ORANGE_BOOK,0.906
DRUG_00032,Drug,Escitalopram,MedXR,ANXIOLYTIC,True,752.88,cream,212,Roche,2005-06-01,inflammation reduction,kidney impairment; liver disease; heart failure,dizziness; diarrhea; dry mouth,FDA_ORANGE_BOOK,0.874
DRUG_00033,Drug,Lorazepam,Maxmax,ANTICONVULSANT,True,560.3,syrup,262,Pfizer,2005-09-05,blood pressure control,heart failure; kidney impairment; bleeding disorders,dry mouth; drowsiness,FDA_ORANGE_BOOK,0.851
