Id,Label,Properties:name,Properties:type,Properties:description,Properties:targetClass,Properties:reversibility,Properties:specificity,Properties:potency,Properties:selectivity,Properties:source,Properties:confidence
MECHANISM_00001,Mechanism,Mechanism_of_Action_01,ENZYME_INHIBITION,Allosteric modulation of receptor conformation,transporter,reversible,0.18,49.324,745.2,CHEMBL,0.879
MECHANISM_00002,Mechanism,Mechanism_of_Action_02,DNA_INTERACTION,Competitive antagonism of neurotransmitter receptors,channel,competitive,0.71,78.87,387.7,CHEMBL,0.827
MECHANISM_00003,Mechanism,Mechanism_of_Action_03,TRANSPORTER_INHIBITION,Competitive antagonism of neurotransmitter receptors,channel,competitive,0.46,48.495,817.4,CHEMBL,0.73
MECHANISM_00004,Mechanism,Mechanism_of_Action_04,TRANSPORTER_INHIBITION,Selective blocking of ion channel conductance,receptor,competitive,0.26,40.332,937.1,CHEMBL,0.783
MECHANISM_00005,Mechanism,Mechanism_of_Action_05,ENZYME_INHIBITION,Irreversible binding to protein cysteine residues,transporter,irreversible,0.41,28.943,93.5,CHEMBL,0.774
MECHANISM_00006,Mechanism,Mechanism_of_Action_06,DNA_INTERACTION,Irreversible binding to protein cysteine residues,channel,irreversible,0.58,96.208,240.6,CHEMBL,0.741
MECHANISM_00007,Mechanism,Mechanism_of_Action_07,RECEPTOR_ANTAGONIST,Competitive inhibition of target enzyme active site,channel,competitive,0.91,6.7,817.5,CHEMBL,0.86
MECHANISM_00008,Mechanism,Mechanism_of_Action_08,RECEPTOR_AGONIST,Inhibition of protein-protein interactions,transporter,irreversible,0.78,10.105,505.0,CHEMBL,0.823
MECHANISM_00009,Mechanism,Mechanism_of_Action_09,ENZYME_INHIBITION,Non-competitive inhibition through allosteric binding,channel,reversible,0.12,10.758,322.7,CHEMBL,0.926
MECHANISM_00010,Mechanism,Mechanism_of_Action_10,CHANNEL_BLOCKER,Allosteric modulation of receptor conformation,enzyme,irreversible,0.32,53.148,838.5,CHEMBL,0.803
MECHANISM_00011,Mechanism,Mechanism_of_Action_11,TRANSPORTER_INHIBITION,Competitive inhibition of target enzyme active site,enzyme,competitive,0.28,47.394,431.7,CHEMBL,0.77
