Id,Label,FromId,ToId,Properties:effect,Properties:strength,Properties:pValue,Properties:foldChange,Properties:regulation,Properties:timepoint,Properties:cellLine,Properties:confidence,Properties:source
COMPOUND_PATHWAY_00001,CompoundAffectsPathway,COMPOUND_00070,PATHWAY_00067,activation,0.966,0.015036,1.8,mixed,29 hours,HepG2,0.896,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00002,CompoundAffectsPathway,COMPOUND_00191,PATHWAY_00085,activation,0.997,0.018763,2.93,downregulation,34 hours,A549,0.707,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00003,CompoundAffectsPathway,COMPOUND_00133,PATHWAY_00071,modulation,0.636,0.046812,2.44,upregulation,44 hours,A549,0.815,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00004,CompoundAffectsPathway,COMPOUND_00172,PATHWAY_00045,inhibition,0.67,0.04571,0.52,downregulation,16 hours,A549,0.664,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00005,CompoundAffectsPathway,COMPOUND_00135,PATHWAY_00008,activation,0.354,0.009224,0.68,upregulation,72 hours,HEK293,0.824,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00006,CompoundAffectsPathway,COMPOUND_00110,PATHWAY_00037,activation,0.81,0.03119,2.23,upregulation,8 hours,A549,0.779,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00007,CompoundAffectsPathway,COMPOUND_00158,PATHWAY_00074,inhibition,0.456,0.007684,2.55,mixed,15 hours,A549,0.86,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00008,CompoundAffectsPathway,COMPOUND_00102,PATHWAY_00038,activation,0.411,0.00986,2.35,upregulation,29 hours,HEK293,0.67,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00009,CompoundAffectsPathway,COMPOUND_00015,PATHWAY_00097,modulation,0.22,0.029475,2.89,upregulation,63 hours,A549,0.811,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00010,CompoundAffectsPathway,COMPOUND_00077,PATHWAY_00034,inhibition,0.519,0.04021,0.86,mixed,51 hours,HEK293,0.74,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00011,CompoundAffectsPathway,COMPOUND_00285,PATHWAY_00089,inhibition,0.601,0.009502,2.57,upregulation,62 hours,A549,0.854,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00012,CompoundAffectsPathway,COMPOUND_00107,PATHWAY_00026,activation,0.904,0.042967,0.83,downregulation,25 hours,HepG2,0.889,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00013,CompoundAffectsPathway,COMPOUND_00178,PATHWAY_00068,activation,0.167,0.045874,1.46,upregulation,28 hours,A549,0.845,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00014,CompoundAffectsPathway,COMPOUND_00167,PATHWAY_00041,activation,0.335,0.02338,1.23,mixed,7 hours,HepG2,0.77,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00015,CompoundAffectsPathway,COMPOUND_00015,PATHWAY_00084,inhibition,0.489,0.00562,0.83,downregulation,29 hours,MCF7,0.693,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00016,CompoundAffectsPathway,COMPOUND_00188,PATHWAY_00061,inhibition,0.897,0.032556,1.45,downregulation,32 hours,HepG2,0.738,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00017,CompoundAffectsPathway,COMPOUND_00121,PATHWAY_00035,modulation,0.585,0.019939,2.78,downregulation,28 hours,HEK293,0.69,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00018,CompoundAffectsPathway,COMPOUND_00074,PATHWAY_00014,activation,0.227,0.038306,2.99,upregulation,60 hours,HEK293,0.659,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00019,CompoundAffectsPathway,COMPOUND_00232,PATHWAY_00096,inhibition,0.977,0.024596,0.83,downregulation,72 hours,MCF7,0.758,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00020,CompoundAffectsPathway,COMPOUND_00062,PATHWAY_00092,modulation,0.763,0.013306,1.23,mixed,32 hours,MCF7,0.823,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00021,CompoundAffectsPathway,COMPOUND_00182,PATHWAY_00043,inhibition,0.708,0.013337,2.7,downregulation,64 hours,MCF7,0.788,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00022,CompoundAffectsPathway,COMPOUND_00077,PATHWAY_00037,modulation,0.186,0.031216,1.51,downregulation,45 hours,HEK293,0.85,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00023,CompoundAffectsPathway,COMPOUND_00212,PATHWAY_00006,activation,0.511,0.004434,0.66,downregulation,51 hours,MCF7,0.696,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00024,CompoundAffectsPathway,COMPOUND_00088,PATHWAY_00099,activation,0.938,0.013233,0.76,upregulation,29 hours,HepG2,0.796,PATHWAY_ANALYSIS
