Id,Label,FromId,ToId,Properties:tanimoto,Properties:dice,Properties:cosine,Properties:fingerprint,Properties:scaffold,Properties:pharmacophore,Properties:confidence,Properties:source
COMPOUND_SIMILARITY_00001,StructuralSimilarity,COMPOUND_00160,COMPOUND_00165,0.721,0.797,0.943,RDKit,same,0.438,0.908,SIMILARITY_CALC
COMPOUND_SIMILARITY_00002,StructuralSimilarity,COMPOUND_00125,COMPOUND_00161,0.652,0.594,0.522,MACCS,similar,0.784,0.849,SIMILARITY_CALC
COMPOUND_SIMILARITY_00003,StructuralSimilarity,COMPOUND_00051,COMPOUND_00034,0.457,0.903,0.453,RDKit,different,0.716,0.861,SIMILARITY_CALC
COMPOUND_SIMILARITY_00004,StructuralSimilarity,COMPOUND_00207,COMPOUND_00181,0.694,0.922,0.522,FCFP6,similar,0.512,0.956,SIMILARITY_CALC
COMPOUND_SIMILARITY_00005,StructuralSimilarity,COMPOUND_00020,COMPOUND_00236,0.913,0.909,0.897,FCFP6,same,0.592,0.841,SIMILARITY_CALC
COMPOUND_SIMILARITY_00006,StructuralSimilarity,COMPOUND_00146,COMPOUND_00015,0.427,0.554,0.704,RDKit,similar,0.725,0.75,SIMILARITY_CALC
COMPOUND_SIMILARITY_00007,StructuralSimilarity,COMPOUND_00085,COMPOUND_00198,0.619,0.355,0.724,MACCS,different,0.827,0.767,SIMILARITY_CALC
COMPOUND_SIMILARITY_00008,StructuralSimilarity,COMPOUND_00208,COMPOUND_00167,0.485,0.94,0.411,FCFP6,different,0.517,0.947,SIMILARITY_CALC
COMPOUND_SIMILARITY_00009,StructuralSimilarity,COMPOUND_00173,COMPOUND_00296,0.313,0.36,0.755,RDKit,similar,0.371,0.909,SIMILARITY_CALC
COMPOUND_SIMILARITY_00010,StructuralSimilarity,COMPOUND_00247,COMPOUND_00203,0.937,0.92,0.731,RDKit,different,0.288,0.818,SIMILARITY_CALC
COMPOUND_SIMILARITY_00011,StructuralSimilarity,COMPOUND_00196,COMPOUND_00122,0.512,0.553,0.612,MACCS,similar,0.707,0.806,SIMILARITY_CALC
COMPOUND_SIMILARITY_00012,StructuralSimilarity,COMPOUND_00073,COMPOUND_00149,0.879,0.777,0.386,RDKit,different,0.448,0.88,SIMILARITY_CALC
COMPOUND_SIMILARITY_00013,StructuralSimilarity,COMPOUND_00251,COMPOUND_00255,0.302,0.822,0.333,ECFP4,similar,0.638,0.966,SIMILARITY_CALC
COMPOUND_SIMILARITY_00014,StructuralSimilarity,COMPOUND_00196,COMPOUND_00241,0.396,0.5,0.328,ECFP4,similar,0.479,0.914,SIMILARITY_CALC
COMPOUND_SIMILARITY_00015,StructuralSimilarity,COMPOUND_00236,COMPOUND_00169,0.906,0.315,0.429,RDKit,different,0.75,0.863,SIMILARITY_CALC
COMPOUND_SIMILARITY_00016,StructuralSimilarity,COMPOUND_00155,COMPOUND_00278,0.943,0.835,0.67,FCFP6,similar,0.456,0.92,SIMILARITY_CALC
COMPOUND_SIMILARITY_00017,StructuralSimilarity,COMPOUND_00286,COMPOUND_00276,0.461,0.476,0.586,FCFP6,same,0.636,0.971,SIMILARITY_CALC
COMPOUND_SIMILARITY_00018,StructuralSimilarity,COMPOUND_00299,COMPOUND_00179,0.411,0.635,0.369,RDKit,same,0.789,0.756,SIMILARITY_CALC
COMPOUND_SIMILARITY_00019,StructuralSimilarity,COMPOUND_00231,COMPOUND_00284,0.771,0.62,0.892,RDKit,different,0.296,0.956,SIMILARITY_CALC
COMPOUND_SIMILARITY_00020,StructuralSimilarity,COMPOUND_00235,COMPOUND_00237,0.558,0.866,0.402,ECFP4,different,0.586,0.775,SIMILARITY_CALC
COMPOUND_SIMILARITY_00021,StructuralSimilarity,COMPOUND_00203,COMPOUND_00019,0.448,0.576,0.418,MACCS,different,0.835,0.765,SIMILARITY_CALC
COMPOUND_SIMILARITY_00022,StructuralSimilarity,COMPOUND_00053,COMPOUND_00142,0.306,0.564,0.666,FCFP6,similar,0.558,0.968,SIMILARITY_CALC
COMPOUND_SIMILARITY_00023,StructuralSimilarity,COMPOUND_00271,COMPOUND_00282,0.601,0.706,0.747,FCFP6,different,0.502,0.884,SIMILARITY_CALC
COMPOUND_SIMILARITY_00024,StructuralSimilarity,COMPOUND_00066,COMPOUND_00026,0.489,0.776,0.936,ECFP4,same,0.293,0.82,SIMILARITY_CALC
COMPOUND_SIMILARITY_00025,StructuralSimilarity,COMPOUND_00145,COMPOUND_00075,0.466,0.46,0.523,ECFP4,different,0.258,0.893,SIMILARITY_CALC
COMPOUND_SIMILARITY_00026,StructuralSimilarity,COMPOUND_00047,COMPOUND_00108,0.846,0.693,0.575,MACCS,same,0.638,0.839,SIMILARITY_CALC
COMPOUND_SIMILARITY_00027,StructuralSimilarity,COMPOUND_00223,COMPOUND_00059,0.767,0.646,0.945,MACCS,different,0.298,0.953,SIMILARITY_CALC
COMPOUND_SIMILARITY_00028,StructuralSimilarity,COMPOUND_00028,COMPOUND_00077,0.889,0.519,0.795,MACCS,similar,0.622,0.905,SIMILARITY_CALC
COMPOUND_SIMILARITY_00029,StructuralSimilarity,COMPOUND_00270,COMPOUND_00241,0.907,0.709,0.592,MACCS,different,0.615,0.896,SIMILARITY_CALC
COMPOUND_SIMILARITY_00030,StructuralSimilarity,COMPOUND_00117,COMPOUND_00238,0.435,0.712,0.48,ECFP4,different,0.423,0.944,SIMILARITY_CALC
COMPOUND_SIMILARITY_00031,StructuralSimilarity,COMPOUND_00280,COMPOUND_00252,0.657,0.567,0.33,RDKit,similar,0.6,0.956,SIMILARITY_CALC
COMPOUND_SIMILARITY_00032,StructuralSimilarity,COMPOUND_00241,COMPOUND_00161,0.392,0.925,0.64,FCFP6,different,0.788,0.872,SIMILARITY_CALC
COMPOUND_SIMILARITY_00033,StructuralSimilarity,COMPOUND_00268,COMPOUND_00022,0.409,0.362,0.556,ECFP4,different,0.37,0.813,SIMILARITY_CALC
COMPOUND_SIMILARITY_00034,StructuralSimilarity,COMPOUND_00238,COMPOUND_00237,0.866,0.795,0.453,FCFP6,different,0.438,0.751,SIMILARITY_CALC
COMPOUND_SIMILARITY_00035,StructuralSimilarity,COMPOUND_00219,COMPOUND_00224,0.323,0.757,0.347,FCFP6,similar,0.567,0.757,SIMILARITY_CALC
COMPOUND_SIMILARITY_00036,StructuralSimilarity,COMPOUND_00023,COMPOUND_00064,0.375,0.485,0.934,ECFP4,similar,0.793,0.89,SIMILARITY_CALC
COMPOUND_SIMILARITY_00037,StructuralSimilarity,COMPOUND_00006,COMPOUND_00186,0.414,0.784,0.857,FCFP6,same,0.69,0.976,SIMILARITY_CALC
COMPOUND_SIMILARITY_00038,StructuralSimilarity,COMPOUND_00189,COMPOUND_00084,0.694,0.545,0.496,FCFP6,same,0.579,0.876,SIMILARITY_CALC
COMPOUND_SIMILARITY_00039,StructuralSimilarity,COMPOUND_00114,COMPOUND_00273,0.746,0.735,0.729,FCFP6,similar,0.652,0.756,SIMILARITY_CALC
COMPOUND_SIMILARITY_00040,StructuralSimilarity,COMPOUND_00106,COMPOUND_00104,0.571,0.719,0.303,FCFP6,similar,0.527,0.777,SIMILARITY_CALC
COMPOUND_SIMILARITY_00041,StructuralSimilarity,COMPOUND_00006,COMPOUND_00280,0.765,0.458,0.641,RDKit,same,0.312,0.95,SIMILARITY_CALC
COMPOUND_SIMILARITY_00042,StructuralSimilarity,COMPOUND_00076,COMPOUND_00292,0.369,0.711,0.913,FCFP6,different,0.494,0.854,SIMILARITY_CALC
COMPOUND_SIMILARITY_00043,StructuralSimilarity,COMPOUND_00008,COMPOUND_00040,0.397,0.858,0.749,RDKit,different,0.328,0.774,SIMILARITY_CALC
COMPOUND_SIMILARITY_00044,StructuralSimilarity,COMPOUND_00137,COMPOUND_00277,0.549,0.879,0.687,RDKit,different,0.732,0.88,SIMILARITY_CALC
COMPOUND_SIMILARITY_00045,StructuralSimilarity,COMPOUND_00216,COMPOUND_00273,0.528,0.677,0.521,FCFP6,similar,0.868,0.888,SIMILARITY_CALC
COMPOUND_SIMILARITY_00046,StructuralSimilarity,COMPOUND_00132,COMPOUND_00239,0.854,0.419,0.629,FCFP6,same,0.684,0.823,SIMILARITY_CALC
COMPOUND_SIMILARITY_00047,StructuralSimilarity,COMPOUND_00279,COMPOUND_00083,0.824,0.647,0.483,ECFP4,different,0.841,0.935,SIMILARITY_CALC
COMPOUND_SIMILARITY_00048,StructuralSimilarity,COMPOUND_00213,COMPOUND_00119,0.801,0.654,0.381,RDKit,same,0.629,0.942,SIMILARITY_CALC
COMPOUND_SIMILARITY_00049,StructuralSimilarity,COMPOUND_00118,COMPOUND_00105,0.455,0.903,0.696,ECFP4,different,0.546,0.955,SIMILARITY_CALC
COMPOUND_SIMILARITY_00050,StructuralSimilarity,COMPOUND_00203,COMPOUND_00266,0.924,0.879,0.568,RDKit,similar,0.887,0.821,SIMILARITY_CALC
