Id,Label,FromId,ToId,Properties:primary,Properties:potency,Properties:selectivity,Properties:kinetics,Properties:reversibility,Properties:allosteric,Properties:cooperativity,Properties:evidence,Properties:confidence,Properties:source
DRUG_MECHANISM_00001,DrugHasMechanism,DRUG_00244,MECHANISM_00004,False,49.036,201.0,fast,irreversible,False,1.36,computational,0.67,MOA_DB
DRUG_MECHANISM_00002,DrugHasMechanism,DRUG_00046,MECHANISM_00068,False,81.755,193.1,slow,irreversible,True,0.61,structural,0.725,MOA_DB
DRUG_MECHANISM_00003,DrugHasMechanism,DRUG_00005,MECHANISM_00053,False,7.846,280.8,fast,irreversible,False,1.1,structural,0.853,MOA_DB
DRUG_MECHANISM_00004,DrugHasMechanism,DRUG_00462,MECHANISM_00071,False,75.058,79.7,slow,irreversible,True,1.05,biochemical,0.689,MOA_DB
DRUG_MECHANISM_00005,DrugHasMechanism,DRUG_00012,MECHANISM_00052,True,88.41,677.6,fast,irreversible,True,1.18,structural,0.816,MOA_DB
DRUG_MECHANISM_00006,DrugHasMechanism,DRUG_00111,MECHANISM_00077,False,36.125,897.7,intermediate,irreversible,False,1.88,computational,0.64,MOA_DB
DRUG_MECHANISM_00007,DrugHasMechanism,DRUG_00211,MECHANISM_00018,False,43.436,726.3,fast,reversible,False,1.43,computational,0.742,MOA_DB
DRUG_MECHANISM_00008,DrugHasMechanism,DRUG_00067,MECHANISM_00043,True,5.113,890.5,fast,irreversible,True,1.5,computational,0.752,MOA_DB
DRUG_MECHANISM_00009,DrugHasMechanism,DRUG_00346,MECHANISM_00023,True,76.647,599.6,fast,irreversible,True,1.67,computational,0.645,MOA_DB
DRUG_MECHANISM_00010,DrugHasMechanism,DRUG_00117,MECHANISM_00009,False,36.461,685.5,intermediate,reversible,False,1.47,biochemical,0.883,MOA_DB
DRUG_MECHANISM_00011,DrugHasMechanism,DRUG_00343,MECHANISM_00040,False,93.423,568.7,slow,irreversible,False,0.76,biochemical,0.694,MOA_DB
DRUG_MECHANISM_00012,DrugHasMechanism,DRUG_00404,MECHANISM_00075,True,57.061,325.1,fast,irreversible,True,0.83,biochemical,0.793,MOA_DB
DRUG_MECHANISM_00013,DrugHasMechanism,DRUG_00379,MECHANISM_00038,True,12.863,889.1,slow,reversible,True,0.8,computational,0.6,MOA_DB
DRUG_MECHANISM_00014,DrugHasMechanism,DRUG_00377,MECHANISM_00049,True,12.368,301.1,fast,reversible,True,0.65,structural,0.689,MOA_DB
DRUG_MECHANISM_00015,DrugHasMechanism,DRUG_00186,MECHANISM_00009,True,90.613,157.4,fast,reversible,True,1.06,biochemical,0.746,MOA_DB
DRUG_MECHANISM_00016,DrugHasMechanism,DRUG_00199,MECHANISM_00045,False,12.922,412.5,slow,reversible,False,1.25,computational,0.864,MOA_DB
DRUG_MECHANISM_00017,DrugHasMechanism,DRUG_00053,MECHANISM_00046,True,49.415,86.4,intermediate,irreversible,False,1.69,biochemical,0.684,MOA_DB
DRUG_MECHANISM_00018,DrugHasMechanism,DRUG_00448,MECHANISM_00038,False,7.291,504.6,fast,reversible,True,0.6,computational,0.753,MOA_DB
DRUG_MECHANISM_00019,DrugHasMechanism,DRUG_00426,MECHANISM_00031,True,60.488,692.1,fast,irreversible,False,1.15,biochemical,0.743,MOA_DB
DRUG_MECHANISM_00020,DrugHasMechanism,DRUG_00450,MECHANISM_00071,False,28.53,248.7,fast,irreversible,True,0.79,computational,0.87,MOA_DB
DRUG_MECHANISM_00021,DrugHasMechanism,DRUG_00274,MECHANISM_00017,False,78.485,994.8,intermediate,irreversible,True,1.56,structural,0.625,MOA_DB
DRUG_MECHANISM_00022,DrugHasMechanism,DRUG_00343,MECHANISM_00011,True,77.621,509.9,intermediate,irreversible,False,1.76,biochemical,0.841,MOA_DB
DRUG_MECHANISM_00023,DrugHasMechanism,DRUG_00325,MECHANISM_00005,True,9.79,925.0,intermediate,irreversible,False,1.83,biochemical,0.823,MOA_DB
DRUG_MECHANISM_00024,DrugHasMechanism,DRUG_00311,MECHANISM_00079,False,32.312,729.9,intermediate,irreversible,False,0.73,structural,0.618,MOA_DB
DRUG_MECHANISM_00025,DrugHasMechanism,DRUG_00336,MECHANISM_00042,True,24.509,277.7,fast,reversible,True,0.57,computational,0.801,MOA_DB
DRUG_MECHANISM_00026,DrugHasMechanism,DRUG_00083,MECHANISM_00018,False,25.294,124.9,slow,reversible,True,0.82,structural,0.793,MOA_DB
DRUG_MECHANISM_00027,DrugHasMechanism,DRUG_00215,MECHANISM_00035,False,50.31,803.4,fast,reversible,True,1.98,biochemical,0.898,MOA_DB
DRUG_MECHANISM_00028,DrugHasMechanism,DRUG_00290,MECHANISM_00080,True,48.152,518.9,slow,irreversible,True,1.33,biochemical,0.898,MOA_DB
DRUG_MECHANISM_00029,DrugHasMechanism,DRUG_00354,MECHANISM_00046,False,87.895,622.5,fast,irreversible,False,0.68,biochemical,0.891,MOA_DB
DRUG_MECHANISM_00030,DrugHasMechanism,DRUG_00399,MECHANISM_00005,True,72.999,80.9,slow,irreversible,False,1.96,biochemical,0.618,MOA_DB
DRUG_MECHANISM_00031,DrugHasMechanism,DRUG_00181,MECHANISM_00069,True,89.037,877.4,intermediate,reversible,True,1.62,computational,0.723,MOA_DB
DRUG_MECHANISM_00032,DrugHasMechanism,DRUG_00432,MECHANISM_00055,False,48.224,503.4,fast,reversible,False,0.7,structural,0.629,MOA_DB
DRUG_MECHANISM_00033,DrugHasMechanism,DRUG_00343,MECHANISM_00078,True,59.161,279.4,slow,irreversible,True,1.8,structural,0.696,MOA_DB
DRUG_MECHANISM_00034,DrugHasMechanism,DRUG_00325,MECHANISM_00031,False,87.69,639.2,fast,reversible,False,1.14,biochemical,0.824,MOA_DB
DRUG_MECHANISM_00035,DrugHasMechanism,DRUG_00402,MECHANISM_00013,True,80.256,464.5,intermediate,irreversible,False,1.93,biochemical,0.798,MOA_DB
DRUG_MECHANISM_00036,DrugHasMechanism,DRUG_00314,MECHANISM_00010,True,73.933,450.6,slow,reversible,False,0.96,biochemical,0.808,MOA_DB
DRUG_MECHANISM_00037,DrugHasMechanism,DRUG_00052,MECHANISM_00019,False,30.432,817.0,intermediate,irreversible,False,1.37,computational,0.82,MOA_DB
DRUG_MECHANISM_00038,DrugHasMechanism,DRUG_00185,MECHANISM_00061,True,49.268,915.0,slow,irreversible,True,0.71,computational,0.659,MOA_DB
DRUG_MECHANISM_00039,DrugHasMechanism,DRUG_00439,MECHANISM_00008,True,54.984,13.9,intermediate,irreversible,True,1.99,biochemical,0.716,MOA_DB
DRUG_MECHANISM_00040,DrugHasMechanism,DRUG_00443,MECHANISM_00030,True,12.582,292.0,fast,reversible,False,0.68,structural,0.748,MOA_DB
DRUG_MECHANISM_00041,DrugHasMechanism,DRUG_00380,MECHANISM_00053,False,75.109,997.1,slow,reversible,False,1.7,structural,0.625,MOA_DB
DRUG_MECHANISM_00042,DrugHasMechanism,DRUG_00421,MECHANISM_00027,False,12.693,432.4,slow,irreversible,False,0.78,computational,0.894,MOA_DB
DRUG_MECHANISM_00043,DrugHasMechanism,DRUG_00220,MECHANISM_00039,False,44.117,223.4,fast,reversible,False,1.03,structural,0.72,MOA_DB
DRUG_MECHANISM_00044,DrugHasMechanism,DRUG_00303,MECHANISM_00025,True,63.984,399.5,slow,reversible,True,0.51,biochemical,0.647,MOA_DB
DRUG_MECHANISM_00045,DrugHasMechanism,DRUG_00206,MECHANISM_00034,False,75.367,210.6,fast,irreversible,False,1.87,biochemical,0.8,MOA_DB
DRUG_MECHANISM_00046,DrugHasMechanism,DRUG_00239,MECHANISM_00013,True,41.17,529.6,intermediate,reversible,False,0.93,biochemical,0.71,MOA_DB
DRUG_MECHANISM_00047,DrugHasMechanism,DRUG_00486,MECHANISM_00001,True,93.741,804.0,fast,reversible,False,1.23,biochemical,0.708,MOA_DB
DRUG_MECHANISM_00048,DrugHasMechanism,DRUG_00097,MECHANISM_00059,False,23.192,610.3,intermediate,reversible,True,1.99,biochemical,0.628,MOA_DB
DRUG_MECHANISM_00049,DrugHasMechanism,DRUG_00230,MECHANISM_00021,True,66.983,429.9,intermediate,reversible,True,1.72,biochemical,0.868,MOA_DB
DRUG_MECHANISM_00050,DrugHasMechanism,DRUG_00365,MECHANISM_00012,False,0.06,195.0,intermediate,reversible,True,1.58,biochemical,0.667,MOA_DB
DRUG_MECHANISM_00051,DrugHasMechanism,DRUG_00287,MECHANISM_00053,True,56.993,659.5,fast,irreversible,False,1.61,structural,0.832,MOA_DB
DRUG_MECHANISM_00052,DrugHasMechanism,DRUG_00487,MECHANISM_00005,False,74.721,499.1,fast,reversible,True,1.15,computational,0.833,MOA_DB
DRUG_MECHANISM_00053,DrugHasMechanism,DRUG_00359,MECHANISM_00072,False,21.004,281.2,fast,irreversible,False,1.74,biochemical,0.701,MOA_DB
DRUG_MECHANISM_00054,DrugHasMechanism,DRUG_00359,MECHANISM_00001,True,25.795,286.8,intermediate,irreversible,True,1.23,structural,0.874,MOA_DB
DRUG_MECHANISM_00055,DrugHasMechanism,DRUG_00228,MECHANISM_00077,True,62.175,902.5,slow,irreversible,True,1.14,biochemical,0.755,MOA_DB
DRUG_MECHANISM_00056,DrugHasMechanism,DRUG_00308,MECHANISM_00058,True,15.492,749.5,fast,reversible,True,1.95,structural,0.787,MOA_DB
DRUG_MECHANISM_00057,DrugHasMechanism,DRUG_00050,MECHANISM_00030,True,45.946,810.9,slow,reversible,True,0.8,biochemical,0.636,MOA_DB
DRUG_MECHANISM_00058,DrugHasMechanism,DRUG_00346,MECHANISM_00015,True,95.214,332.8,intermediate,reversible,False,0.65,computational,0.779,MOA_DB
DRUG_MECHANISM_00059,DrugHasMechanism,DRUG_00292,MECHANISM_00002,True,47.567,690.4,fast,reversible,False,1.02,biochemical,0.805,MOA_DB
DRUG_MECHANISM_00060,DrugHasMechanism,DRUG_00222,MECHANISM_00066,True,85.902,48.0,slow,reversible,False,0.97,structural,0.892,MOA_DB
DRUG_MECHANISM_00061,DrugHasMechanism,DRUG_00446,MECHANISM_00013,True,87.562,762.0,fast,reversible,False,1.52,biochemical,0.793,MOA_DB
DRUG_MECHANISM_00062,DrugHasMechanism,DRUG_00031,MECHANISM_00017,True,4.918,257.9,slow,irreversible,False,0.79,structural,0.803,MOA_DB
DRUG_MECHANISM_00063,DrugHasMechanism,DRUG_00413,MECHANISM_00023,False,24.952,35.3,fast,reversible,False,0.57,computational,0.9,MOA_DB
DRUG_MECHANISM_00064,DrugHasMechanism,DRUG_00435,MECHANISM_00052,False,90.955,447.6,slow,reversible,True,1.68,structural,0.849,MOA_DB
DRUG_MECHANISM_00065,DrugHasMechanism,DRUG_00099,MECHANISM_00038,False,27.812,521.4,fast,reversible,True,1.04,biochemical,0.728,MOA_DB
DRUG_MECHANISM_00066,DrugHasMechanism,DRUG_00114,MECHANISM_00026,False,82.716,41.5,fast,reversible,False,1.82,computational,0.692,MOA_DB
DRUG_MECHANISM_00067,DrugHasMechanism,DRUG_00484,MECHANISM_00076,False,6.597,104.3,fast,irreversible,True,1.05,biochemical,0.66,MOA_DB
DRUG_MECHANISM_00068,DrugHasMechanism,DRUG_00303,MECHANISM_00027,True,58.287,903.8,fast,irreversible,True,1.99,computational,0.803,MOA_DB
DRUG_MECHANISM_00069,DrugHasMechanism,DRUG_00229,MECHANISM_00054,True,4.532,189.6,slow,reversible,False,0.55,biochemical,0.838,MOA_DB
DRUG_MECHANISM_00070,DrugHasMechanism,DRUG_00315,MECHANISM_00073,True,79.754,735.8,slow,reversible,False,0.78,computational,0.853,MOA_DB
DRUG_MECHANISM_00071,DrugHasMechanism,DRUG_00277,MECHANISM_00030,True,6.339,375.9,fast,reversible,False,1.44,biochemical,0.845,MOA_DB
DRUG_MECHANISM_00072,DrugHasMechanism,DRUG_00442,MECHANISM_00057,False,10.996,202.5,fast,reversible,False,0.6,computational,0.836,MOA_DB
DRUG_MECHANISM_00073,DrugHasMechanism,DRUG_00037,MECHANISM_00058,False,51.754,293.9,fast,irreversible,True,0.61,biochemical,0.809,MOA_DB
DRUG_MECHANISM_00074,DrugHasMechanism,DRUG_00302,MECHANISM_00003,True,42.834,244.2,intermediate,reversible,True,1.29,structural,0.643,MOA_DB
DRUG_MECHANISM_00075,DrugHasMechanism,DRUG_00377,MECHANISM_00039,True,67.061,229.3,fast,irreversible,True,1.45,biochemical,0.786,MOA_DB
