Id,Label,FromId,ToId,Properties:affinity,Properties:ic50,Properties:ki,Properties:mechanism,Properties:evidence,Properties:assayType,Properties:species,Properties:confidence,Properties:source
DRUG_TARGET_00001,DrugTargets,DRUG_00301,TARGET_00115,3.823,90.948219,17.297759,binding,literature,cellular,human,0.622,CHEMBL
DRUG_TARGET_00002,DrugTargets,DRUG_00364,TARGET_00126,6.506,75.890741,48.463886,inhibition,experimental,cellular,human,0.806,CHEMBL
DRUG_TARGET_00003,DrugTargets,DRUG_00500,TARGET_00121,3.801,69.402797,5.752022,activation,computational,biochemical,human,0.913,CHEMBL
DRUG_TARGET_00004,DrugTargets,DRUG_00406,TARGET_00138,3.826,23.782132,31.163268,inhibition,experimental,biochemical,human,0.883,CHEMBL
DRUG_TARGET_00005,DrugTargets,DRUG_00365,TARGET_00130,9.109,83.016402,47.238807,activation,experimental,tissue,human,0.757,CHEMBL
DRUG_TARGET_00006,DrugTargets,DRUG_00383,TARGET_00004,8.565,70.567984,13.989915,binding,literature,tissue,human,0.612,CHEMBL
DRUG_TARGET_00007,DrugTargets,DRUG_00244,TARGET_00010,5.608,93.841073,6.964455,inhibition,computational,biochemical,human,0.905,CHEMBL
DRUG_TARGET_00008,DrugTargets,DRUG_00112,TARGET_00135,3.214,48.76788,15.221303,modulation,experimental,tissue,human,0.739,CHEMBL
DRUG_TARGET_00009,DrugTargets,DRUG_00172,TARGET_00197,2.861,21.668309,21.055308,inhibition,experimental,tissue,human,0.839,CHEMBL
DRUG_TARGET_00010,DrugTargets,DRUG_00483,TARGET_00001,5.913,29.796986,4.574203,activation,literature,tissue,human,0.721,CHEMBL
DRUG_TARGET_00011,DrugTargets,DRUG_00443,TARGET_00141,3.294,42.238849,7.084106,inhibition,experimental,tissue,human,0.743,CHEMBL
DRUG_TARGET_00012,DrugTargets,DRUG_00050,TARGET_00118,4.07,49.518727,2.226012,modulation,computational,biochemical,human,0.795,CHEMBL
DRUG_TARGET_00013,DrugTargets,DRUG_00417,TARGET_00084,2.667,45.363222,44.825712,modulation,computational,tissue,human,0.691,CHEMBL
DRUG_TARGET_00014,DrugTargets,DRUG_00012,TARGET_00173,8.268,85.269783,19.894845,modulation,computational,cellular,human,0.616,CHEMBL
DRUG_TARGET_00015,DrugTargets,DRUG_00132,TARGET_00136,6.04,86.132685,0.301976,activation,literature,cellular,human,0.827,CHEMBL
DRUG_TARGET_00016,DrugTargets,DRUG_00231,TARGET_00062,1.979,62.981899,17.243529,inhibition,literature,cellular,human,0.893,CHEMBL
DRUG_TARGET_00017,DrugTargets,DRUG_00388,TARGET_00142,3.378,50.821306,25.016919,inhibition,literature,tissue,human,0.693,CHEMBL
DRUG_TARGET_00018,DrugTargets,DRUG_00262,TARGET_00015,0.346,20.370115,2.730175,modulation,computational,biochemical,human,0.601,CHEMBL
DRUG_TARGET_00019,DrugTargets,DRUG_00264,TARGET_00030,9.04,20.066831,33.031741,activation,experimental,biochemical,human,0.894,CHEMBL
DRUG_TARGET_00020,DrugTargets,DRUG_00362,TARGET_00036,2.702,2.564935,39.163461,binding,literature,cellular,human,0.657,CHEMBL
