Id,Label,FromId,ToId,Properties:efficacy,Properties:sideEffectProfile,Properties:dosage,Properties:frequency,Properties:duration,Properties:route,Properties:indication,Properties:evidence,Properties:confidence,Properties:source
DRUG_TREATS_00001,DrugTreats,DRUG_00456,DISEASE_00018,0.408,moderate,161mg,as_needed,22 weeks,oral,primary,Phase_II,0.823,CLINICAL_TRIALS
DRUG_TREATS_00002,DrugTreats,DRUG_00479,DISEASE_00065,0.408,moderate,46mg,as_needed,4 weeks,topical,off_label,real_world,0.802,CLINICAL_TRIALS
DRUG_TREATS_00003,DrugTreats,DRUG_00379,DISEASE_00004,0.768,severe,409mg,once_daily,31 weeks,oral,off_label,case_study,0.747,CLINICAL_TRIALS
DRUG_TREATS_00004,DrugTreats,DRUG_00239,DISEASE_00091,0.652,mild,374mg,twice_daily,52 weeks,topical,secondary,Phase_III,0.942,CLINICAL_TRIALS
DRUG_TREATS_00005,DrugTreats,DRUG_00300,DISEASE_00058,0.464,severe,24mg,twice_daily,29 weeks,oral,primary,real_world,0.838,CLINICAL_TRIALS
DRUG_TREATS_00006,DrugTreats,DRUG_00114,DISEASE_00010,0.637,mild,100mg,three_times_daily,26 weeks,intravenous,off_label,Phase_II,0.933,CLINICAL_TRIALS
DRUG_TREATS_00007,DrugTreats,DRUG_00112,DISEASE_00125,0.735,moderate,38mg,as_needed,29 weeks,intramuscular,off_label,real_world,0.813,CLINICAL_TRIALS
DRUG_TREATS_00008,DrugTreats,DRUG_00243,DISEASE_00015,0.39,severe,134mg,once_daily,39 weeks,oral,off_label,Phase_II,0.781,CLINICAL_TRIALS
DRUG_TREATS_00009,DrugTreats,DRUG_00105,DISEASE_00114,0.567,moderate,25mg,once_daily,40 weeks,intramuscular,primary,case_study,0.838,CLINICAL_TRIALS
DRUG_TREATS_00010,DrugTreats,DRUG_00479,DISEASE_00029,0.525,severe,120mg,once_daily,37 weeks,intravenous,primary,Phase_III,0.85,CLINICAL_TRIALS
DRUG_TREATS_00011,DrugTreats,DRUG_00491,DISEASE_00011,0.666,moderate,106mg,three_times_daily,42 weeks,oral,off_label,case_study,0.843,CLINICAL_TRIALS
DRUG_TREATS_00012,DrugTreats,DRUG_00277,DISEASE_00074,0.825,mild,181mg,as_needed,46 weeks,topical,off_label,case_study,0.827,CLINICAL_TRIALS
DRUG_TREATS_00013,DrugTreats,DRUG_00285,DISEASE_00020,0.927,mild,480mg,twice_daily,34 weeks,intravenous,primary,Phase_II,0.705,CLINICAL_TRIALS
