Id,Label,FromId,ToId,Properties:role,Properties:importance,Properties:essentiality,Properties:position,Properties:expression,Properties:activity,Properties:confidence,Properties:source
TARGET_PATHWAY_00001,TargetInvolvedInPathway,TARGET_00179,PATHWAY_00002,substrate,0.723,minor,central,7.48,33.3,0.76,PATHWAY_DB
TARGET_PATHWAY_00002,TargetInvolvedInPathway,TARGET_00156,PATHWAY_00006,enzyme,0.204,moderate,downstream,7.55,13.8,0.821,PATHWAY_DB
TARGET_PATHWAY_00003,TargetInvolvedInPathway,TARGET_00090,PATHWAY_00069,enzyme,0.303,essential,upstream,6.64,5.1,0.846,PATHWAY_DB
TARGET_PATHWAY_00004,TargetInvolvedInPathway,TARGET_00043,PATHWAY_00004,regulator,0.659,essential,upstream,5.15,0.2,0.908,PATHWAY_DB
TARGET_PATHWAY_00005,TargetInvolvedInPathway,TARGET_00052,PATHWAY_00024,enzyme,0.568,essential,downstream,5.84,90.5,0.748,PATHWAY_DB
TARGET_PATHWAY_00006,TargetInvolvedInPathway,TARGET_00002,PATHWAY_00073,substrate,0.955,important,peripheral,5.12,69.5,0.916,PATHWAY_DB
TARGET_PATHWAY_00007,TargetInvolvedInPathway,TARGET_00141,PATHWAY_00044,cofactor,0.503,important,upstream,0.71,96.3,0.905,PATHWAY_DB
TARGET_PATHWAY_00008,TargetInvolvedInPathway,TARGET_00043,PATHWAY_00025,regulator,0.473,minor,central,8.66,71.8,0.792,PATHWAY_DB
TARGET_PATHWAY_00009,TargetInvolvedInPathway,TARGET_00033,PATHWAY_00097,cofactor,0.604,minor,central,8.82,36.0,0.858,PATHWAY_DB
TARGET_PATHWAY_00010,TargetInvolvedInPathway,TARGET_00087,PATHWAY_00065,regulator,0.423,minor,upstream,2.35,20.4,0.866,PATHWAY_DB
TARGET_PATHWAY_00011,TargetInvolvedInPathway,TARGET_00103,PATHWAY_00070,regulator,0.929,important,upstream,6.89,1.2,0.786,PATHWAY_DB
TARGET_PATHWAY_00012,TargetInvolvedInPathway,TARGET_00149,PATHWAY_00052,substrate,0.145,essential,downstream,9.25,89.6,0.771,PATHWAY_DB
TARGET_PATHWAY_00013,TargetInvolvedInPathway,TARGET_00185,PATHWAY_00098,cofactor,0.399,important,central,4.71,49.2,0.895,PATHWAY_DB
TARGET_PATHWAY_00014,TargetInvolvedInPathway,TARGET_00179,PATHWAY_00007,enzyme,0.863,moderate,upstream,1.77,5.7,0.787,PATHWAY_DB
TARGET_PATHWAY_00015,TargetInvolvedInPathway,TARGET_00155,PATHWAY_00017,regulator,0.991,moderate,peripheral,2.69,50.9,0.821,PATHWAY_DB
