Id,Label,Properties:title,Properties:released,Properties:tagline,Properties:runtime,Properties:genre
MOVIE_1,Movie,The Matrix,1999,Welcome to the Real World,136,Sci-Fi
MOVIE_2,Movie,The Matrix Reloaded,2003,Free your mind,138,Sci-Fi
MOVIE_3,Movie,The Matrix Revolutions,2003,Everything that has a beginning has an end,129,Sci-Fi
MOVIE_4,Movie,The Devil's Advocate,1997,Evil has its winning ways,144,Drama
MOVIE_5,Movie,A Few Good Men,1992,In the heart of the nation's capital in a courthouse of the U.S. government an army colonel sits on trial for conspiracy murder her most valued witness is a Lieutenant Colonel whose motive is so ground that it causes his superiors to question her sanity and her case to fall to pieces,138,Drama
MOVIE_6,Movie,Top Gun,1986,I feel the need the need for speed,110,Action
MOVIE_7,Movie,Jerry Maguire,1996,The rest of his life begins now,139,Comedy
MOVIE_8,Movie,Stand By Me,1986,For some the greatest adventure is simply growing up,89,Drama
MOVIE_9,Movie,As Good as It Gets,1997,A comedy from the heart that goes for the throat,139,Comedy
MOVIE_10,Movie,What Dreams May Come,1998,After life there is more. The end is just the beginning,113,Drama
MOVIE_11,Movie,Snow Falling on Cedars,1999,First loves last. Forever,127,Drama
MOVIE_12,Movie,You've Got Mail,1998,At odds in life... in love on-line,119,Romance
MOVIE_13,Movie,Sleepless in Seattle,1993,What if someone you never met someone you never saw someone you never knew was the only someone for you?,105,Romance
MOVIE_14,Movie,Joe Versus the Volcano,1990,A story of love lava and burning desire,102,Comedy
MOVIE_15,Movie,When Harry Met Sally,1989,Can two friends sleep together and still love each other in the morning?,96,Romance
MOVIE_16,Movie,That Thing You Do!,1996,In every life there comes a time when that thing you dream becomes that thing you do,108,Comedy
MOVIE_17,Movie,The Replacements,2000,Pain heals chicks dig scars glory lasts forever,118,Comedy
MOVIE_18,Movie,RescueDawn,2006,A true story of survival... declassified,120,Action
MOVIE_19,Movie,The Birdcage,1996,Come as you are,117,Comedy
MOVIE_20,Movie,Unforgiven,1992,It's a hell of a thing killing a man,131,Western
MOVIE_21,Movie,Johnny Mnemonic,1995,The hottest data on earth. In the coolest head in town,96,Sci-Fi
MOVIE_22,Movie,Cloud Atlas,2012,Everything is connected,172,Drama
MOVIE_23,Movie,The Da Vinci Code,2006,Break The Codes,149,Thriller
MOVIE_24,Movie,V for Vendetta,2005,Remember remember the fifth of November,132,Action
MOVIE_25,Movie,Speed Racer,2008,Go Speed Racer Go!,135,Family
MOVIE_26,Movie,Ninja Assassin,2009,Prepare to enter a secret world of assassins,99,Action
MOVIE_27,Movie,The Green Mile,1999,Walk a mile you'll never forget,189,Drama
MOVIE_28,Movie,Frost/Nixon,2008,400 million people were waiting for the truth,122,Drama
MOVIE_29,Movie,Hoffa,1992,He didn't want law. He wanted justice,140,Crime
MOVIE_30,Movie,Apollo 13,1995,Houston we have a problem,140,Drama
