Id,Label,Properties:name,Properties:born,Properties:bio
PERSON_1,Person,Keanu Reeves,1964,Canadian actor known for action films
PERSON_2,Person,Laurence Fishburne,1961,American actor and playwright
PERSON_3,Person,Carrie-Anne Moss,1967,Canadian actress
PERSON_4,Person,Hugo Weaving,1960,British-Australian actor
PERSON_5,Person,Lilly Wachowski,1967,American film director and screenwriter
PERSON_6,Person,Lana Wachowski,1965,American film director and screenwriter
PERSON_7,Person,Joel Silver,1952,American film producer
PERSON_8,Person,Emil Eifrem,1973,Swedish entrepreneur and graph database expert
PERSON_9,Person,Charlize Theron,1975,South African-American actress and producer
PERSON_10,Person,Al Pacino,1940,American actor and filmmaker
PERSON_11,Person,Taylor Hackford,1944,American film director
PERSON_12,Person,Tom Hanks,1956,American actor and filmmaker
PERSON_13,Person,Meg Ryan,1961,American actress and producer
PERSON_14,Person,Greg Kinnear,1963,American actor and television personality
PERSON_15,Person,Parker Posey,1968,American actress and musician
PERSON_16,Person,Dave Chappelle,1973,American stand-up comedian and actor
PERSON_17,Person,Steve Zahn,1967,American actor and comedian
PERSON_18,Person,Tom Cruise,1962,American actor and producer
PERSON_19,Person,Jack Nicholson,1937,American actor and filmmaker
PERSON_20,Person,Demi Moore,1962,American actress and film producer
PERSON_21,Person,Kevin Bacon,1958,American actor and musician
PERSON_22,Person,Kiefer Sutherland,1966,British-Canadian actor and producer
PERSON_23,Person,Noah Wyle,1971,American actor
PERSON_24,Person,Cuba Gooding Jr.,1968,American actor
PERSON_25,Person,Kevin Pollak,1957,American actor and comedian
PERSON_26,Person,J.T. Walsh,1943,American character actor
PERSON_27,Person,James Marshall,1967,American actor
PERSON_28,Person,Christopher Guest,1948,American-British screenwriter and actor
PERSON_29,Person,Rob Reiner,1947,American actor and filmmaker
PERSON_30,Person,Aaron Sorkin,1961,American screenwriter and playwright
PERSON_31,Person,Kelly McGillis,1957,American actress
PERSON_32,Person,Val Kilmer,1959,American actor
PERSON_33,Person,Anthony Edwards,1962,American actor and director
PERSON_34,Person,Tom Skerritt,1933,American actor
PERSON_35,Person,Tony Scott,1944,British film director and producer
PERSON_36,Person,Jim Cash,1941,American screenwriter
PERSON_37,Person,Jack Epps Jr.,1949,American screenwriter
PERSON_38,Person,River Phoenix,1970,American actor and musician
PERSON_39,Person,Corey Feldman,1971,American actor and singer
PERSON_40,Person,Wil Wheaton,1972,American actor and writer
PERSON_41,Person,John Cusack,1966,American actor and screenwriter
PERSON_42,Person,Marshall Bell,1942,American actor
PERSON_43,Person,Helen Hunt,1963,American actress and director
PERSON_44,Person,Greg Kinnear,1963,American actor and television personality
PERSON_45,Person,James L. Brooks,1940,American director and screenwriter
PERSON_46,Person,Annabella Sciorra,1960,American actress
PERSON_47,Person,Max von Sydow,1929,Swedish actor
PERSON_48,Person,Werner Herzog,1942,German film director and screenwriter
PERSON_49,Person,Robin Williams,1951,American actor and comedian
PERSON_50,Person,Nathan Lane,1956,American actor and writer
