Id,Label,FromId,ToId,Properties:roles,Properties:year,Properties:character_name
REL_ACTED_1,ACTED_IN,PERSON_1,MOVIE_1,Neo,1999,Neo
REL_ACTED_2,ACTED_IN,PERSON_2,MOVIE_1,Morpheus,1999,Morpheus
REL_ACTED_3,ACTED_IN,PERSON_3,MOVIE_1,Trinity,1999,Trinity
REL_ACTED_4,ACTED_IN,PERSON_4,MOVIE_1,Agent Smith,1999,Agent Smith
REL_ACTED_5,ACTED_IN,PERSON_1,MOVIE_2,Neo,2003,Neo
REL_ACTED_6,ACTED_IN,PERSON_2,MOVIE_2,Morpheus,2003,Morpheus
REL_ACTED_7,ACTED_IN,PERSON_3,MOVIE_2,Trinity,2003,Trinity
REL_ACTED_8,ACTED_IN,PERSON_4,MOVIE_2,Agent Smith,2003,Agent Smith
REL_ACTED_9,ACTED_IN,PERSON_1,MOVIE_3,Neo,2003,Neo
REL_ACTED_10,ACTED_IN,PERSON_2,MOVIE_3,Morpheus,2003,Morpheus
REL_ACTED_11,ACTED_IN,PERSON_3,MOVIE_3,Trinity,2003,Trinity
REL_ACTED_12,ACTED_IN,PERSON_4,MOVIE_3,Agent Smith,2003,Agent Smith
REL_ACTED_13,ACTED_IN,PERSON_1,MOVIE_4,Kevin Lomax,1997,Kevin Lomax
REL_ACTED_14,ACTED_IN,PERSON_9,MOVIE_4,Mary Ann Lomax,1997,Mary Ann Lomax
REL_ACTED_15,ACTED_IN,PERSON_10,MOVIE_4,John Milton,1997,John Milton
REL_ACTED_16,ACTED_IN,PERSON_12,MOVIE_5,Lt. Daniel Kaffee,1992,Lt. Daniel Kaffee
REL_ACTED_17,ACTED_IN,PERSON_18,MOVIE_5,Lt. Cdr. JoAnne Galloway,1992,Lt. Cdr. JoAnne Galloway
REL_ACTED_18,ACTED_IN,PERSON_19,MOVIE_5,Col. Nathan R. Jessup,1992,Col. Nathan R. Jessup
REL_ACTED_19,ACTED_IN,PERSON_20,MOVIE_5,Lt. Cdr. JoAnne Galloway,1992,Lt. Cdr. JoAnne Galloway
REL_ACTED_20,ACTED_IN,PERSON_21,MOVIE_5,Capt. Jack Ross,1992,Capt. Jack Ross
REL_ACTED_21,ACTED_IN,PERSON_22,MOVIE_5,Lt. Jonathan Kendrick,1992,Lt. Jonathan Kendrick
REL_ACTED_22,ACTED_IN,PERSON_23,MOVIE_5,Cpl. Jeffrey Barnes,1992,Cpl. Jeffrey Barnes
REL_ACTED_23,ACTED_IN,PERSON_24,MOVIE_5,Cpl. Carl Hammaker,1992,Cpl. Carl Hammaker
REL_ACTED_24,ACTED_IN,PERSON_25,MOVIE_5,Lt. Sam Weinberg,1992,Lt. Sam Weinberg
REL_ACTED_25,ACTED_IN,PERSON_26,MOVIE_5,Lt. Col. Matthew Andrew Markinson,1992,Lt. Col. Matthew Andrew Markinson
REL_ACTED_26,ACTED_IN,PERSON_27,MOVIE_5,Pfc. Louden Downey,1992,Pfc. Louden Downey
REL_ACTED_27,ACTED_IN,PERSON_18,MOVIE_6,Lt. Pete 'Maverick' Mitchell,1986,Lt. Pete 'Maverick' Mitchell
REL_ACTED_28,ACTED_IN,PERSON_31,MOVIE_6,Charlotte 'Charlie' Blackwood,1986,Charlotte 'Charlie' Blackwood
REL_ACTED_29,ACTED_IN,PERSON_32,MOVIE_6,Lt. Tom 'Iceman' Kazansky,1986,Lt. Tom 'Iceman' Kazansky
REL_ACTED_30,ACTED_IN,PERSON_33,MOVIE_6,Lt. Nick 'Goose' Bradshaw,1986,Lt. Nick 'Goose' Bradshaw
REL_ACTED_31,ACTED_IN,PERSON_34,MOVIE_6,Cdr. Mike 'Viper' Metcalf,1986,Cdr. Mike 'Viper' Metcalf
REL_ACTED_32,ACTED_IN,PERSON_18,MOVIE_7,Jerry Maguire,1996,Jerry Maguire
REL_ACTED_33,ACTED_IN,PERSON_24,MOVIE_7,Rod Tidwell,1996,Rod Tidwell
REL_ACTED_34,ACTED_IN,PERSON_38,MOVIE_8,Chris Chambers,1986,Chris Chambers
REL_ACTED_35,ACTED_IN,PERSON_39,MOVIE_8,Teddy Duchamp,1986,Teddy Duchamp
REL_ACTED_36,ACTED_IN,PERSON_40,MOVIE_8,Gordie Lachance,1986,Gordie Lachance
REL_ACTED_37,ACTED_IN,PERSON_41,MOVIE_8,Denny Lachance,1986,Denny Lachance
REL_ACTED_38,ACTED_IN,PERSON_42,MOVIE_8,Mr. Lachance,1986,Mr. Lachance
REL_ACTED_39,ACTED_IN,PERSON_19,MOVIE_9,Melvin Udall,1997,Melvin Udall
REL_ACTED_40,ACTED_IN,PERSON_43,MOVIE_9,Carol Connelly,1997,Carol Connelly
REL_ACTED_41,ACTED_IN,PERSON_44,MOVIE_9,Simon Bishop,1997,Simon Bishop
REL_ACTED_42,ACTED_IN,PERSON_49,MOVIE_10,Chris Nielsen,1998,Chris Nielsen
REL_ACTED_43,ACTED_IN,PERSON_24,MOVIE_10,Albert Lewis,1998,Albert Lewis
REL_ACTED_44,ACTED_IN,PERSON_47,MOVIE_11,Nels Gudmundsson,1999,Nels Gudmundsson
REL_ACTED_45,ACTED_IN,PERSON_12,MOVIE_12,Joe Fox,1998,Joe Fox
REL_ACTED_46,ACTED_IN,PERSON_13,MOVIE_12,Kathleen Kelly,1998,Kathleen Kelly
REL_ACTED_47,ACTED_IN,PERSON_14,MOVIE_12,Frank Navasky,1998,Frank Navasky
REL_ACTED_48,ACTED_IN,PERSON_15,MOVIE_12,Patricia Eden,1998,Patricia Eden
REL_ACTED_49,ACTED_IN,PERSON_16,MOVIE_12,Kevin Jackson,1998,Kevin Jackson
REL_ACTED_50,ACTED_IN,PERSON_17,MOVIE_12,George Pappas,1998,George Pappas
