Id,Label,FromId,ToId,Properties:year,Properties:role
REL_DIRECTED_1,DIRECTED,PERSON_5,MOVIE_1,1999,Director
REL_DIRECTED_2,DIRECTED,PERSON_6,MOVIE_1,1999,Director
REL_DIRECTED_3,DIRECTED,PERSON_5,MOVIE_2,2003,Director
REL_DIRECTED_4,DIRECTED,PERSON_6,MOVIE_2,2003,Director
REL_DIRECTED_5,DIRECTED,PERSON_5,MOVIE_3,2003,Director
REL_DIRECTED_6,DIRECTED,PERSON_6,MOVIE_3,2003,Director
REL_DIRECTED_7,DIRECTED,PERSON_11,MOVIE_4,1997,Director
REL_DIRECTED_8,DIRECTED,PERSON_29,MOVIE_5,1992,Director
REL_DIRECTED_9,DIRECTED,PERSON_35,MOVIE_6,1986,Director
REL_DIRECTED_10,DIRECTED,PERSON_28,MOVIE_7,1996,Director
REL_DIRECTED_11,DIRECTED,PERSON_29,MOVIE_8,1986,Director
REL_DIRECTED_12,DIRECTED,PERSON_45,MOVIE_9,1997,Director
REL_DIRECTED_13,DIRECTED,PERSON_48,MOVIE_10,1998,Director
REL_DIRECTED_14,DIRECTED,PERSON_29,MOVIE_11,1999,Director
REL_DIRECTED_15,DIRECTED,PERSON_29,MOVIE_12,1998,Director
REL_DIRECTED_16,DIRECTED,PERSON_29,MOVIE_13,1993,Director
REL_DIRECTED_17,DIRECTED,PERSON_29,MOVIE_14,1990,Director
REL_DIRECTED_18,DIRECTED,PERSON_29,MOVIE_15,1989,Director
REL_DIRECTED_19,DIRECTED,PERSON_12,MOVIE_16,1996,Director
REL_DIRECTED_20,DIRECTED,PERSON_48,MOVIE_18,2006,Director
