Id,Label,FromId,ToId,Properties:since,Properties:relationship_type
REL_FOLLOWS_1,FOLLOWS,PERSON_1,PERSON_5,1998,Professional
REL_FOLLOWS_2,FOLLOWS,PERSON_1,PERSON_6,1998,Professional
REL_FOLLOWS_3,FOLLOWS,PERSON_2,PERSON_1,1999,Mentor
REL_FOLLOWS_4,FOLLOWS,PERSON_3,PERSON_1,1999,Co-star
REL_FOLLOWS_5,FOLLOWS,PERSON_12,PERSON_29,1985,Director-Actor
REL_FOLLOWS_6,FOLLOWS,PERSON_13,PERSON_12,1993,Co-star
REL_FOLLOWS_7,FOLLOWS,PERSON_18,PERSON_35,1986,Director-Actor
REL_FOLLOWS_8,FOLLOWS,PERSON_19,PERSON_29,1992,Director-Actor
REL_FOLLOWS_9,FOLLOWS,PERSON_24,PERSON_18,1996,Co-star
REL_FOLLOWS_10,FOLLOWS,PERSON_43,PERSON_19,1997,Co-star
REL_FOLLOWS_11,FOLLOWS,PERSON_49,PERSON_48,1998,Director-Actor
REL_FOLLOWS_12,FOLLOWS,PERSON_38,PERSON_29,1986,Director-Actor
REL_FOLLOWS_13,FOLLOWS,PERSON_39,PERSON_38,1986,Co-star
REL_FOLLOWS_14,FOLLOWS,PERSON_40,PERSON_38,1986,Co-star
REL_FOLLOWS_15,FOLLOWS,PERSON_31,PERSON_18,1986,Co-star
