Id,Label,FromId,ToId,Properties:year,Properties:role
REL_PRODUCED_1,PRODUCED,PERSON_7,MOVIE_1,1999,Producer
REL_PRODUCED_2,PRODUCED,PERSON_7,MOVIE_2,2003,Producer
REL_PRODUCED_3,PRODUCED,PERSON_7,MOVIE_3,2003,Producer
REL_PRODUCED_4,PRODUCED,PERSON_7,MOVIE_4,1997,Producer
REL_PRODUCED_5,PRODUCED,PERSON_29,MOVIE_5,1992,Producer
REL_PRODUCED_6,PRODUCED,PERSON_7,MOVIE_6,1986,Producer
REL_PRODUCED_7,PRODUCED,PERSON_18,MOVIE_6,1986,Producer
REL_PRODUCED_8,PRODUCED,PERSON_28,MOVIE_7,1996,Producer
REL_PRODUCED_9,PRODUCED,PERSON_29,MOVIE_8,1986,Producer
REL_PRODUCED_10,PRODUCED,PERSON_45,MOVIE_9,1997,Producer
REL_PRODUCED_11,PRODUCED,PERSON_29,MOVIE_10,1998,Producer
REL_PRODUCED_12,PRODUCED,PERSON_29,MOVIE_11,1999,Producer
REL_PRODUCED_13,PRODUCED,PERSON_29,MOVIE_12,1998,Producer
REL_PRODUCED_14,PRODUCED,PERSON_29,MOVIE_13,1993,Producer
REL_PRODUCED_15,PRODUCED,PERSON_12,MOVIE_16,1996,Producer
