Id,Label,FromId,ToId,Properties:year,Properties:role
REL_WROTE_1,WROTE,PERSON_5,MOVIE_1,1999,Screenwriter
REL_WROTE_2,WROTE,PERSON_6,MOVIE_1,1999,Screenwriter
REL_WROTE_3,WROTE,PERSON_5,MOVIE_2,2003,Screenwriter
REL_WROTE_4,WROTE,PERSON_6,MOVIE_2,2003,Screenwriter
REL_WROTE_5,WROTE,PERSON_5,MOVIE_3,2003,Screenwriter
REL_WROTE_6,WROTE,PERSON_6,MOVIE_3,2003,Screenwriter
REL_WROTE_7,WROTE,PERSON_30,MOVIE_5,1992,Screenwriter
REL_WROTE_8,WROTE,PERSON_36,MOVIE_6,1986,Screenwriter
REL_WROTE_9,WROTE,PERSON_37,MOVIE_6,1986,Screenwriter
REL_WROTE_10,WROTE,PERSON_28,MOVIE_7,1996,Screenwriter
REL_WROTE_11,WROTE,PERSON_45,MOVIE_9,1997,Screenwriter
REL_WROTE_12,WROTE,PERSON_29,MOVIE_15,1989,Screenwriter
REL_WROTE_13,WROTE,PERSON_12,MOVIE_16,1996,Screenwriter
