Id,Label,Properties:name,Properties:uniprotId,Properties:family,Properties:chromosome,Properties:geneSymbol,Properties:organism,Properties:tissueSpecificity,Properties:molecularFunction,Properties:cellularLocation,Properties:expression,Properties:source,Properties:confidence
TARGET_00001,Target,Protein_Target_001,P71888,ION_CHANNEL,chr1,GENE614,Homo sapiens,muscle,DNA binding,membrane,low,UNIPROT,0.83
TARGET_00002,Target,Protein_Target_002,P61798,STRUCTURAL_PROTEIN,chr1,GENE645,Homo sapiens,brain,receptor binding,cytoplasm,medium,UNIPROT,0.896
TARGET_00003,Target,Protein_Target_003,P52613,CYTOKINE,chr15,GENE118,Homo sapiens,heart,protein kinase activity,cytoplasm,low,UNIPROT,0.88
TARGET_00004,Target,Protein_Target_004,P60526,ION_CHANNEL,chr12,GENE925,Homo sapiens,kidney,receptor binding,cytoplasm,medium,UNIPROT,0.909
TARGET_00005,Target,Protein_Target_005,P15827,TRANSPORTER,chr11,GENE393,Homo sapiens,liver,enzyme activity,membrane,medium,UNIPROT,0.933
TARGET_00006,Target,Protein_Target_006,P47746,NUCLEAR_RECEPTOR,chr19,GENE451,Homo sapiens,muscle,DNA binding,membrane,medium,UNIPROT,0.809
TARGET_00007,Target,Protein_Target_007,P63540,GPCR,chr11,GENE954,Homo sapiens,heart,receptor binding,nucleus,high,UNIPROT,0.845
TARGET_00008,Target,Protein_Target_008,P84690,HORMONE,chr2,GENE243,Homo sapiens,muscle,transporter activity,membrane,low,UNIPROT,0.829
TARGET_00009,Target,Protein_Target_009,P11267,HORMONE,chr17,GENE224,Homo sapiens,liver,structural molecule activity,mitochondria,medium,UNIPROT,0.832
TARGET_00010,Target,Protein_Target_010,P66671,STRUCTURAL_PROTEIN,chr22,GENE206,Homo sapiens,heart,enzyme activity,mitochondria,low,UNIPROT,0.914
TARGET_00011,Target,Protein_Target_011,P85341,ION_CHANNEL,chr17,GENE425,Homo sapiens,liver,receptor binding,cytoplasm,low,UNIPROT,0.86
TARGET_00012,Target,Protein_Target_012,P78459,GPCR,chr11,GENE108,Homo sapiens,liver,enzyme activity,mitochondria,medium,UNIPROT,0.877
TARGET_00013,Target,Protein_Target_013,P20107,NUCLEAR_RECEPTOR,chr5,GENE774,Homo sapiens,kidney,protein kinase activity,membrane,high,UNIPROT,0.936
TARGET_00014,Target,Protein_Target_014,P90283,CYTOKINE,chr17,GENE449,Homo sapiens,muscle,receptor binding,membrane,high,UNIPROT,0.872
TARGET_00015,Target,Protein_Target_015,P91988,GPCR,chr14,GENE204,Homo sapiens,kidney,protein kinase activity,nucleus,medium,UNIPROT,0.919
TARGET_00016,Target,Protein_Target_016,P28958,CYTOKINE,chr5,GENE317,Homo sapiens,brain,protein kinase activity,nucleus,high,UNIPROT,0.862
TARGET_00017,Target,Protein_Target_017,P19690,HORMONE,chr11,GENE842,Homo sapiens,kidney,transporter activity,cytoplasm,low,UNIPROT,0.885
TARGET_00018,Target,Protein_Target_018,P67215,TRANSPORTER,chr15,GENE666,Homo sapiens,muscle,transporter activity,nucleus,medium,UNIPROT,0.874
TARGET_00019,Target,Protein_Target_019,P11938,TRANSPORTER,chr18,GENE195,Homo sapiens,brain,DNA binding,cytoplasm,medium,UNIPROT,0.83
TARGET_00020,Target,Protein_Target_020,P90499,ENZYME,chr13,GENE100,Homo sapiens,liver,transporter activity,mitochondria,medium,UNIPROT,0.941
TARGET_00021,Target,Protein_Target_021,P22057,STRUCTURAL_PROTEIN,chr20,GENE113,Homo sapiens,kidney,transporter activity,mitochondria,medium,UNIPROT,0.935
TARGET_00022,Target,Protein_Target_022,P44720,ENZYME,chr19,GENE975,Homo sapiens,kidney,transporter activity,membrane,medium,UNIPROT,0.923
TARGET_00023,Target,Protein_Target_023,P41633,GPCR,chr18,GENE193,Homo sapiens,kidney,DNA binding,mitochondria,high,UNIPROT,0.886
TARGET_00024,Target,Protein_Target_024,P97581,TRANSPORTER,chr7,GENE782,Homo sapiens,liver,transporter activity,cytoplasm,medium,UNIPROT,0.819
TARGET_00025,Target,Protein_Target_025,P73328,ENZYME,chr13,GENE235,Homo sapiens,muscle,protein kinase activity,mitochondria,high,UNIPROT,0.903
TARGET_00026,Target,Protein_Target_026,P54943,GPCR,chr10,GENE871,Homo sapiens,muscle,protein kinase activity,membrane,low,UNIPROT,0.83
TARGET_00027,Target,Protein_Target_027,P87183,ENZYME,chr3,GENE514,Homo sapiens,heart,structural molecule activity,nucleus,high,UNIPROT,0.888
